,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
26,27,3460560,대산자원,,Junk Shop,Shops and Service,Other Shops and Service,126.65184349188188,37.518332196738,대한민국,KOR,KOR,인천광역시,서구,,원창동,,원창로,25,143-2,2020-06-15 0:00:00,"쇼핑,편의||재활용||고물상",False
214,215,3145328,나라자원,,Nara Resource,Shops and Service,Other Shops and Service,126.72774608500391,37.44930826672338,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,복개서로,13,1317,2021-12-23 15:49:18,"쇼핑,편의||재활용||고물상",False
249,250,3644582,송도국제업무단지,,Songdo International Eobmu Complex,Shops and Service,Other Shops and Service,126.64586970053789,37.38911180026243,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,센트럴로,123,6-1,2022-05-01 12:37:48,특화||공업||산업단지,False
429,430,5669945,청룡자원,,CheonglyongResource,Shops and Service,Other Shops and Service,126.62768307281084,37.587681179323205,대한민국,KOR,KOR,인천광역시,서구,,오류동,,원당대로246번길,14,434-42,2021-12-23 15:49:18,"쇼핑,편의||재활용||고물상",False
653,654,5693794,환경자원,,Junk Shop,Shops and Service,Other Shops and Service,126.64849718783987,37.60253807498452,대한민국,KOR,KOR,인천광역시,서구,,오류동,,봉수대로,1452,53,2021-12-23 15:49:18,"쇼핑,편의||재활용||고물상",False
774,775,6209563,탑자원,,Top Resource,Shops and Service,Other Shops and Service,126.73276190469396,37.42446787490078,대한민국,KOR,KOR,인천광역시,남동구,,도림동,,,,107-5,2019-08-13 0:37:34,"쇼핑,편의||재활용||고물상",False
1038,1039,6216490,기린자원,,Girin Resource,Shops and Service,Other Shops and Service,126.74175371592496,37.526190753141705,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,,,603-1,2022-08-04 10:04:43,"쇼핑,편의||재활용||고물상",False
1260,1261,2595435,가풍인테리어,,family style interior,Shops and Service,Other Shops and Service,126.63652910430886,37.47331372107266,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,송림로,11,9-17,2022-08-24 14:41:06,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
1423,1424,4322227,신흥자원,,Sinheung Resource,Shops and Service,Other Shops and Service,126.48338107534168,37.49462078913724,대한민국,KOR,KOR,인천광역시,중구,,운서동,,눈돌로13번길,7-13,2750-1,2022-08-08 10:29:42,"쇼핑,편의||재활용||고물상",False
1432,1433,2622966,미래자원,,Junk Shop,Shops and Service,Other Shops and Service,126.75668750040892,37.5255083003677,대한민국,KOR,KOR,인천광역시,계양구,,서운동,,,,144-8,2022-08-04 10:04:43,"쇼핑,편의||재활용||고물상",False
1470,1471,27262068,뷰티네일,,beauty nail,Shops and Service,Other Shops and Service,126.67379219999997,37.517775399999806,대한민국,KOR,KOR,인천광역시,서구,,가정동,,석곶로,2,507-5,2022-05-02 21:16:34,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
1649,1650,6206993,동호자원,,Deoksu Resource,Shops and Service,Other Shops and Service,126.75216952023995,37.43060863030628,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,,,583-6,2021-12-23 15:49:18,"쇼핑,편의||재활용||고물상",False
1739,1740,27143736,담꾹 인천신현점,,Damkok Incheon Shinhyeon Branch,Shops and Service,Other Shops and Service,126.6728673490419,37.51907557335441,대한민국,KOR,KOR,인천광역시,서구,,신현동,,가정로,387,302-1,2022-08-12 13:15:03,"쇼핑,편의||식료품||가공식품||밀키트||담꾹",False
1782,1783,27188940,기타센터,,Other Center,Shops and Service,Other Shops and Service,126.72274623992192,37.491828384414084,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,3,549-39,2022-08-12 13:15:03,"쇼핑,편의||취미,레저용품||악기||기타",False
1841,1842,27443552,오네일,,oh nail,Shops and Service,Other Shops and Service,126.72857499999996,37.489684599999805,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,45,541-2,2022-08-30 9:43:30,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
1913,1914,4324276,동아상사,,Dong-A Trading Company,Shops and Service,Other Shops and Service,126.7058559349852,37.44338520467296,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로521번길,10-22,1175-7,2022-08-16 16:52:33,"쇼핑,편의||식료품||식료품-일반",False
1930,1931,5670915,두암인테리어,,Dooam Interior,Shops and Service,Other Shops and Service,126.72206285465094,37.541588811360405,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양대로205번길,11-9,942-17,2021-12-23 15:49:18,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
2065,2066,27021289,구찌향수 롯데백화점인천점,,Gucci Perfume Lotte Department Store Incheon,Shops and Service,Other Shops and Service,126.70151859999989,37.44250619999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||화장품,향수||화장품||화장품-일반",False
2066,2067,5700098,대명아파트상가,,Daemyung Apartments,Shops and Service,Other Shops and Service,126.68129869999991,37.42169429999977,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,함박뫼로,128,541,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
2071,2072,6221546,일경자원,,Lee Kyung ja won,Shops and Service,Other Shops and Service,126.72092804137588,37.503137560281885,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,원적로,490,451-19,2021-12-23 15:49:18,"쇼핑,편의||재활용||고물상",False
2096,2097,1264785,은혜상가,,grace shopping mall,Shops and Service,Other Shops and Service,126.67036941737393,37.54874927958721,대한민국,KOR,KOR,인천광역시,서구,,연희동,,대평로56번길,17,733-2,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||일반종합상가",False
2110,2111,2594590,참길인테리어,,Chamgil interior,Shops and Service,Other Shops and Service,126.74146796030195,37.48171156564408,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,항동로46번길,60,175-11,2022-05-01 12:37:48,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
2257,2258,565791,강화농협영농센터,강화영농센터,Ganghwa Agricultural Cooperative Agricultural Center,Shops and Service,Other Shops and Service,126.49703128967371,37.75450802079642,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,옥림리,동문로,135,456-4,2019-09-04 23:01:33,"쇼핑,편의||산업용품||농업용품||농업용품-일반",False
2261,2262,27428238,베버힐 인천연수점,,Beverhill Incheon Yeonsu Branch,Shops and Service,Other Shops and Service,126.67670891065193,37.414055801996845,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,먼우금로,190,597-4,2022-08-08 10:29:42,"쇼핑,편의||미용||두피,탈모관리||두피,탈모관리-일반",False
2313,2314,601906,삼성화재 부평지점,삼성화재부평지점,Samsung Fire & Marine Bupyeong Branch,Shops and Service,Other Shops and Service,126.73094033019392,37.49750073808401,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,138,132-5,2022-05-01 12:37:48,"금융||보험||손해,화재보험||삼성화재",False
2342,2343,3963669,더모락 송도점,,The Morak Songdo Branch,Shops and Service,Other Shops and Service,126.65163298604988,37.395407685905845,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,121,3-4,2022-08-24 14:41:06,"쇼핑,편의||미용||두피,탈모관리||프랜차이즈||더모락",False
2401,2402,5723536,현대건축인테리어,현대인테리어,modern architecture interior,Shops and Service,Other Shops and Service,126.70042345211488,37.511299439841885,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,산청로25번길,19,28-45,2021-12-23 15:49:18,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
2410,2411,969975,미래에셋증권 인천WM,미래에셋대우WM클래스 인천지점,Mirae Asset Securities Incheon WM,Shops and Service,Other Shops and Service,126.70125784564092,37.443632496456075,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로489번길,4,1469,2022-05-01 12:37:48,"금융||주식,증권||미래에셋대우",False
2444,2445,4327399,인천원예농협 구월아시아드지점,인천농협 구월아시아드지점,Incheon Horticultural Cooperative Guwol Asiad Branch,Shops and Service,Other Shops and Service,126.70963559874788,37.44262641686966,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,568,1533-2,2022-05-01 12:37:48,금융||신용조합||농협||농협-지점,False
2454,2455,20461180,미추홀트루엘파크상가,,Michuhol True Park Shopping Mall,Shops and Service,Other Shops and Service,126.66857845512388,37.44654822241327,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,학익소로9번길,24,5-10,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
2568,2569,3118551,다이소 인천만수점,DAISO인천만수점,Daiso Incheon Bay,Shops and Service,Other Shops and Service,126.73193721174592,37.45949238617947,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수로,29-1,868-50,2022-08-16 16:52:33,"쇼핑,편의||가정,생활용품||종합생활용품||프랜차이즈||다이소",False
2610,2611,5722062,예랑인테리어,,Yerang Interior,Shops and Service,Other Shops and Service,126.6707135559819,37.50079385703479,대한민국,KOR,KOR,인천광역시,서구,,석남동,,석남로,82,581-20,2022-08-24 14:41:06,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
2622,2623,27226694,매일유업 한국씨엔에스대리점,,Maeil Dairy Korea CNS Agency,Shops and Service,Other Shops and Service,126.75054579999998,37.515877899999815,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,평천로,540,106-39,2022-05-01 12:37:48,"쇼핑,편의||식료품||우유,유제품||프랜차이즈||매일유업",False
2656,2657,5693003,더조은네일,THE조은네일,the joeun nail,Shops and Service,Other Shops and Service,126.7156102110939,37.42935021720128,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,남촌로84번길,17,289,2022-08-16 16:52:33,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
2681,2682,20482738,인생네컷 인천인하대점,,Four Cuts of Life Incheon Inha University,Shops and Service,Other Shops and Service,126.65713037936288,37.45164998411457,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,경인남길30번길,50,191-90,2022-05-01 12:37:48,"쇼핑,편의||사진||스튜디오||셀프,대여스튜디오",False
2713,2714,6221384,현대상사,,Hyundai Trading Company,Shops and Service,Other Shops and Service,126.51360515806374,37.51301808871895,대한민국,KOR,KOR,인천광역시,중구,,운북동,,백운로,451,734-1,2021-12-23 15:49:18,"쇼핑,편의||전자,가전||전자부품||전지,배터리||전지,배터리-일반",False
2783,2784,2603079,세한에리트정수기 인천부평점,,Sehan Erit water purifier  Incheon Bupyeong,Shops and Service,Other Shops and Service,126.69788175918188,37.46860783020728,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로477번길,8,449-18,2021-12-23 15:49:18,"쇼핑,편의||전자,가전||연수기,정수기",False
2790,2791,20761447,포토시그니처 부평2호점,,Photo Signature Bupyeong 2nd Branch,Shops and Service,Other Shops and Service,126.72525192641092,37.492005283393596,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로1403번길,16,155-38,2022-05-01 12:37:48,"쇼핑,편의||사진||스튜디오||셀프,대여스튜디오",False
2841,2842,26803377,e편한세상영종국제도시센텀베뉴상가, ,e-Pyunhansang Yeongjong International City Centum Venue Shopping Mall,Shops and Service,Other Shops and Service,126.5522200368629,37.4895684388291,대한민국,KOR,KOR,인천광역시,중구,,중산동,,,,1871-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
2881,2882,5684328,대원인테리어,,Daewon Interior,Shops and Service,Other Shops and Service,126.73673780104792,37.548060317910206,대한민국,KOR,KOR,인천광역시,계양구,,임학동,,병방시장로43번길,2,212,2022-05-01 12:37:48,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
3021,3022,4330969,다주인테리어,,multi-house interior,Shops and Service,Other Shops and Service,126.71767743105391,37.44966717605476,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,용천로4번길,59,1237-8,2019-11-14 23:06:52,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
3036,3037,629281,강화터미널상가,터미널상가,Ganghwa Terminal Shopping Mall,Shops and Service,Other Shops and Service,126.49072210000186,37.73983669999819,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,남산리,중앙로,43,222,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||일반종합상가",False
3040,3041,6197932,논현센트럴뷰상가,4단지소래LH아파트상가,Sorae LH4 Apartment Complex,Shops and Service,Other Shops and Service,126.72873037737298,37.399181457758665,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로68번길,32,749-1,2022-08-16 16:52:33,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3049,3050,20477869,네일꽃이피다,,nail flower,Shops and Service,Other Shops and Service,126.72495219930498,37.453387510031085,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월말로,50,1305-4,2022-05-01 12:37:48,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
3070,3071,5696008,부평산곡푸르지오아파트상가,산곡푸르지오아파트상가,Bupyeong Sangok Prugio Apartment Complex,Shops and Service,Other Shops and Service,126.70823399999996,37.50667929999981,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로,269,510,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3089,3090,27081688,미플 2001아울렛 부평점,,Meeple 2001 Outlet Bupyeong,Shops and Service,Other Shops and Service,126.7101714978899,37.490539316610096,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-08-12 13:15:03,"쇼핑,편의||미용||피부,체형관리||프랜차이즈||미플",False
3094,3095,20201202,공감인테리어,,empathy interior,Shops and Service,Other Shops and Service,126.60423104887192,37.454218606302994,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로33번길,16,58-4,2021-12-23 15:49:18,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
3098,3099,27184423,네일은 현나,,Nail is Hyunna,Shops and Service,Other Shops and Service,126.70620324692288,37.5052926087136,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,원적로,361,124-23,2022-08-24 14:41:06,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
3135,3136,20203192,청라휴먼시아아파트상가,청라아파트상가,Cheongna Humansia Apartment Shopping Mall,Shops and Service,Other Shops and Service,126.64630853078393,37.52868058486092,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로,232,184-1,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3154,3155,27455514,연세유업 동인천대리점,,Yonsei Dairy Dongincheon Agency,Shops and Service,Other Shops and Service,126.64284403415596,37.47615307968791,대한민국,KOR,KOR,인천광역시,동구,,송림동,,솔빛로,84,56-46,2022-08-16 16:52:33,"쇼핑,편의||식료품||우유,유제품||프랜차이즈||연세우유",False
3162,3163,84142,서인천농협 심곡지점,농협 심곡지점,Seoincheon Nonghyup Simgok Branch,Shops and Service,Other Shops and Service,126.67632739568089,37.5419266911972,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,심곡로,60,255-1,2022-08-18 12:00:50,금융||신용조합||농협||농협-지점,False
3169,3170,27101564,린나이 부평구업소용대리점,린나이보일러 부평구업소용대리점,Rinnai Bupyeong-gu Business Agency,Shops and Service,Other Shops and Service,126.74746629134395,37.47857281590628,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,일신로,73,37-7,2022-05-18 11:21:23,"쇼핑,편의||전자,가전||냉난방기||보일러||린나이코리아",False
3170,3171,5722059,당하풍림아이원2차아파트상가,2차당하풍림아이원아파트상가,Dangha Poonglim I-One 2nd Apartment Complex,Shops and Service,Other Shops and Service,126.67573699999994,37.59617979999984,대한민국,KOR,KOR,인천광역시,서구,,마전동,,원당대로685번길,32,1053-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3172,3173,6198957,현대아파트상가,,modern apartment complex,Shops and Service,Other Shops and Service,126.74094567752094,37.487602968211405,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로1083번길,32,308-5,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3265,3266,4341562,라미네일,,Laminar,Shops and Service,Other Shops and Service,126.64673272953289,37.46135649325477,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,독배로462번길,30-6,171-26,2022-08-16 16:52:33,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
3291,3292,3889137,알파 서인천점,알파문구서인천점,Alpha Seoincheon Branch,Shops and Service,Other Shops and Service,126.67219897026088,37.501784149136085,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,192,576-37,2022-08-16 16:52:33,"쇼핑,편의||도서,음반,문구||문구,팬시용품||프랜차이즈||알파문구",False
3333,3334,4326638,인하홈인테리어,인하인테리어,Inha Home Interior,Shops and Service,Other Shops and Service,126.72312697647293,37.45047786980928,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로764번길,73,1300-10,2021-12-23 15:49:18,"쇼핑,편의||가구,인테리어||가구,인테리어-일반",False
3340,3341,1256828,한국종합피아노,한국피아노,Korean general piano,Shops and Service,Other Shops and Service,126.65532103643876,37.46642883443975,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,경인로,113,63-8,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||악기||건반악기||피아노",False
3341,3342,6196219,행복마을아파트상가,,Happy Village Apartments,Shops and Service,Other Shops and Service,126.6818559541379,37.46593969801479,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,염창로,69,23-3,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3391,3392,3115595,계양상사,,Gyeyang Corporation,Shops and Service,Other Shops and Service,126.73475571212424,37.578952262115045,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,장기로,30,138-4,2022-07-13 13:54:25,"쇼핑,편의||가정,생활용품||종합생활용품||종합생활용품-일반",False
3426,3427,4349141,서인천농협 본점,농협서인천 본점,Seoincheon Nonghyup Headquarters,Shops and Service,Other Shops and Service,126.65801544855988,37.533890152461694,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라에메랄드로102번길,12,167-2,2022-08-18 12:00:50,금융||신용조합||농협||농협-지점,False
3458,3459,5683241,신호상사,,signal boss,Shops and Service,Other Shops and Service,126.65281149999994,37.48645529999981,대한민국,KOR,KOR,인천광역시,동구,,송현동,,방축로37번길,30,129,2022-08-24 14:41:06,"쇼핑,편의||산업용품||산업용품-일반",False
3470,3471,27426029,모던하우스 이천일 부평점,,Modern House Lee Cheon-il Bupyeong Branch,Shops and Service,Other Shops and Service,126.71019699800188,37.49055951589831,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-08-08 10:29:42,"쇼핑,편의||가정,생활용품||종합생활용품||프랜차이즈||모던하우스",False
3504,3505,27184590,궁s네일,,arch s nail,Shops and Service,Other Shops and Service,126.7097130018959,37.488960450000086,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1258-1,307-3,2022-05-01 12:37:48,"쇼핑,편의||미용||네일아트,네일샵||네일아트,네일샵-일반",False
3543,3544,27021582,발릴라 롯데백화점인천점,,Valilla Lotte Department Store Incheon,Shops and Service,Other Shops and Service,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||가구,인테리어||침구,커튼||침구류,직물||침구류,직물-일반",False
3612,3613,27021693,빌리프 롯데백화점인천점,,belif Lotte Department Store Incheon,Shops and Service,Other Shops and Service,126.70137839999995,37.442485299999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||화장품,향수||화장품||프랜차이즈||빌리프",False
3651,3652,20255844,e편한세상부평그랑힐스상가,,e-Pyunhan Sesang Bupyeong Gran Hills Shopping Mall,Shops and Service,Other Shops and Service,126.70160321931988,37.5153230370023,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,,,364-172,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||상가,아케이드||아파트상가",False
3664,3665,27213571,아리따움 부평역지하상가점,,Aritaum Bupyeong Station Underground Shopping Mall,Shops and Service,Other Shops and Service,126.72308259999993,37.491510999999775,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,7,126-10,2022-05-01 12:37:48,"쇼핑,편의||화장품,향수||화장품||프랜차이즈||아리따움",False
3668,3669,2156712,백두자원,,Baegdu Resource,Shops and Service,Other Shops and Service,126.68178361885089,37.48510559176607,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,열우물로,267-1,289-19,2020-05-14 23:00:43,"쇼핑,편의||재활용||고물상",False
