,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
183,184,5666286,신애견,,new dog,Shops and Service,Pet Store,126.68311082930488,37.49491293321229,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로100번길,6,30-39,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
1986,1987,3122771,미낭애견,,cute dog,Shops and Service,Pet Store,126.63559899999991,37.4698619999998,대한민국,KOR,KOR,인천광역시,중구,,유동,,서해대로483번길,16,39-1,2022-06-07 17:23:36,"쇼핑,편의||반려동물||애견용품",False
3191,3192,27058615,펫러브잇,,pet love it,Shops and Service,Pet Store,126.6711105990969,37.554939338831126,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로373번길,12-10,683-2,2022-05-01 12:37:48,"쇼핑,편의||반려동물||애견의류||애견의류-일반",False
3352,3353,5689773,꼬리치는강아지,,tailed puppy,Shops and Service,Pet Store,126.72228320977624,37.53376186578095,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,111,853-38,2022-08-26 9:52:19,"쇼핑,편의||반려동물||애견용품",False
4754,4755,5677893,라이프독 인천본점 강아지고양이,,Life Dog Incheon Main Store Dog Cat,Shops and Service,Pet Store,126.73256902141156,37.542876971123285,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1130,14-3,2022-09-06 15:18:26,"쇼핑,편의||반려동물||반려동물분양||반려동물분양-일반",False
8357,8358,4337069,세발가락본점,,Three-toed head office,Shops and Service,Pet Store,126.64364299999984,37.537422699999794,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로329번길,3-11,147-4,2022-08-08 10:29:42,"쇼핑,편의||반려동물||애견용품",False
9670,9671,4335404,순이와새롬이애견미용,,Soon-i and Saerom-i dog grooming,Shops and Service,Pet Store,126.66523919589588,37.42609456981764,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,비류대로278번길,8-3,563-8,2022-08-16 16:52:33,"쇼핑,편의||반려동물||반려동물미용",False
10836,10837,27211032,강아지세상,,dog world,Shops and Service,Pet Store,126.74265369211896,37.4854132584659,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,경인로1104번길,3,105,2022-05-01 12:37:48,"쇼핑,편의||반려동물||반려동물-일반",False
11459,11460,20035817,꿈꾸는강아지,,dreaming puppy,Shops and Service,Pet Store,126.69365056766992,37.44447282874047,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,인하로430번길,30,486-2,2022-08-18 12:00:50,"쇼핑,편의||반려동물||반려동물미용",False
12069,12070,5666651,펫클럽 부평1호점,PETCLUB부평1호점,Pet Club Bupyeong 1st Branch,Shops and Service,Pet Store,126.73218467514792,37.51867794000309,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,장제로,369,34-2,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
13254,13255,5670559,애견마당,,dog yard,Shops and Service,Pet Store,126.67599457376387,37.51877635709829,대한민국,KOR,KOR,인천광역시,서구,,가정동,,가정로380번길,25-1,501-14,2022-08-24 14:41:06,"쇼핑,편의||반려동물||애견용품",False
13677,13678,27178688,애견정원,,dog garden,Shops and Service,Pet Store,126.72575709897592,37.4953987464154,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,대정로,45,370-46,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
13917,13918,5701950,서진짱애견용품할인매장,서진짱애견용품매장,Seojinjjang dog products discount store,Shops and Service,Pet Store,126.6334751113558,37.46747847539767,대한민국,KOR,KOR,인천광역시,중구,,신흥동1가,,제물량로,88,1-10,2022-06-07 17:23:36,"쇼핑,편의||반려동물||애견용품",False
14468,14469,5685451,똥강아지,,shit puppy,Shops and Service,Pet Store,126.71543502231088,37.42996036619648,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,호구포로535번길,48-4,293,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
16183,16184,27188947,오펫애견샵,,Oppet dog shop,Shops and Service,Pet Store,126.68389840453992,37.56764339394172,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로,584,513-1,2022-08-12 13:15:03,"쇼핑,편의||반려동물||반려동물미용",False
16804,16805,20027629,애견세상,,dog world,Shops and Service,Pet Store,126.6580121697259,37.46192520076277,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,수봉로,51-1,22-33,2022-06-07 17:23:36,"쇼핑,편의||반려동물||애견용품",False
18897,18898,27068039,우리동네 개밥하우스,,Our Neighborhood Dog Food House,Shops and Service,Pet Store,126.65367299376288,37.45867881587797,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독정이로,31,492-11,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
21132,21133,20476407,사랑한개너양,,I love you,Shops and Service,Pet Store,126.66695854691395,37.4572040263006,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,수봉로182번길,51,589-9,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
24664,24665,4347698,애견미용샵 해피독,,Happy Dog,Shops and Service,Pet Store,126.73063603616892,37.536424416060505,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,장제로767번길,33,296-3,2022-09-06 15:18:26,"쇼핑,편의||반려동물||반려동물미용",False
25262,25263,6209602,강아지사랑,,dog love,Shops and Service,Pet Store,126.6669145171279,37.45186300279236,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,한나루로501번길,8,2-7,2022-05-01 12:37:48,"쇼핑,편의||반려동물||반려동물미용",False
26261,26262,27048029,모퉁이애견,,corner dog,Shops and Service,Pet Store,126.73195407498893,37.49819429881418,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부흥로,359,115-24,2022-05-01 12:37:48,"쇼핑,편의||반려동물||반려동물분양||반려동물분양-일반",False
28279,28280,3133186,초록애견,,green dog,Shops and Service,Pet Store,126.68415783322148,37.41303639365216,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,원인재로,180,634,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
29766,29767,27046087,애견호텔 몽몽드,,Dog Hotel Montmonde,Shops and Service,Pet Store,126.69821489866489,37.425555093761055,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,학나래로6번길,58,407-2,2022-08-16 16:52:33,"쇼핑,편의||반려동물||반려동물호텔",False
30301,30302,27048512,하이퍼피,,hyperpi,Shops and Service,Pet Store,126.72404048824492,37.45936142796018,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,백범로227번길,19,899,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
33357,33358,27123070,꽃개냥 반려동물용품점,,Flower Gae-nyang Pet Supplies Store,Shops and Service,Pet Store,126.72184119999996,37.499580799999805,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,91,465-45,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
33723,33724,27046196,복슬강아지,,Voxel puppy,Shops and Service,Pet Store,126.61506232831186,37.596078514726415,대한민국,KOR,KOR,인천광역시,서구,,오류동,,보듬로,158,1656-1,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
34638,34639,3117443,요크독애견샵,,york dog dog shop,Shops and Service,Pet Store,126.73470832065892,37.52805108828579,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,효서로,345,647,2022-08-18 12:00:50,"쇼핑,편의||반려동물||반려동물미용",False
34988,34989,6205243,행복한강아지,,happy puppy,Shops and Service,Pet Store,126.62901101704084,37.47313956538206,대한민국,KOR,KOR,인천광역시,중구,,내동,,우현로67번길,1-3,197,2022-08-24 14:41:06,"쇼핑,편의||반려동물||반려동물미용",False
35297,35298,27179246,영진퍼피텔,,Youngjin Puppetel,Shops and Service,Pet Store,126.67798219906392,37.44544458997598,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주승로69번길,24,1342-29,2022-06-07 17:23:36,"쇼핑,편의||반려동물||애견용품",False
40636,40637,26945823,멍블랑 강아지 인하대점,,Meng Blanc  Doggy  Inha University,Shops and Service,Pet Store,126.64535156438389,37.45800531741436,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인주대로,72,685-12,2022-08-30 9:43:30,"쇼핑,편의||반려동물||반려동물분양||반려동물분양-일반",False
41706,41707,4338390,꼬리치는강아지연수점,,Flirty dog training point,Shops and Service,Pet Store,126.68302053146688,37.42490270120156,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,비류대로433번길,12,508-22,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
43555,43556,4337893,복터진강아지,,puppies,Shops and Service,Pet Store,126.67141469999994,37.418234899999774,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,함박뫼로,8,475-7,2022-08-16 16:52:33,"쇼핑,편의||반려동물||반려동물미용",False
46570,46571,5726411,강아지왈츠,,dog waltz,Shops and Service,Pet Store,126.67321119999995,37.423814699999774,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,새말로,6,537,2022-08-16 16:52:33,"쇼핑,편의||반려동물||반려동물미용",False
46576,46577,27208414,러브마이퍼피,,Love My Puppy,Shops and Service,Pet Store,126.69920206994088,37.448423693907856,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화로,105,1347-17,2022-05-01 12:37:48,"쇼핑,편의||반려동물||반려동물분양||반려동물분양-일반",False
46806,46807,27225868,펫하우스 가좌점,,Pet House Gajwa,Shops and Service,Pet Store,126.68259678529888,37.494781410965096,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로,96,30-73,2022-06-07 17:23:36,"쇼핑,편의||반려동물||애견용품",False
47246,47247,4329858,펫랜드 본점,PETLAND 본점,Pet Land Main Store,Shops and Service,Pet Store,126.67348296261387,37.46104212168756,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석바위로,4,391-14,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
47332,47333,4339654,해피애견,,happy dog,Shops and Service,Pet Store,126.69635539999996,37.4734756999998,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,배곶로,62,300-24,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
48764,48765,6204728,따루네 애견샵,,Tarune Dog Shop,Shops and Service,Pet Store,126.62744758726183,37.470439057953456,대한민국,KOR,KOR,인천광역시,중구,,신포동,,제물량로,150,18-19,2022-08-12 13:15:03,"쇼핑,편의||반려동물||애견용품",False
54571,54572,4326059,아이러브독 강아지 인천점,,I Love Dog Doggy Incheon Branch,Shops and Service,Pet Store,126.70763885615376,37.469037692703,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,663,220-10,2022-08-16 16:52:33,"쇼핑,편의||반려동물||반려동물분양||반려동물분양-일반",False
55897,55898,3129729,애견의집,,dog house,Shops and Service,Pet Store,126.68724488131788,37.48614401816159,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,열우물로240번길,35-1,360-8,2022-08-16 16:52:33,"쇼핑,편의||반려동물||애견용품",False
