,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2060,2061,4338446,원광한약국,,Wonkwang Oriental Pharmacy,Shops and Service,Pharmacy,126.72493522333792,37.39941406731726,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,93,649-4,2022-05-01 12:37:48,"의료시설||약국||한약국,한약방",False
3132,3133,1087780,청약국,,subscribing country,Shops and Service,Pharmacy,126.72619065105184,37.51130341748928,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,182,367-3,2022-09-06 15:18:26,의료시설||약국||메디팜,False
3200,3201,299387,옵티마늘푸른약국,늘푸른약국,Opti Garlic Blue Pharmacy,Shops and Service,Pharmacy,126.73456062454036,37.54409997374008,대한민국,KOR,KOR,인천광역시,계양구,,임학동,,임학동로9번길,2,63-34,2022-08-18 12:00:50,의료시설||약국||옵티마케어,False
8906,8907,646723,경희당한약방,,Kyungheedang Pharmacy,Shops and Service,Pharmacy,126.72483280627092,37.49582050412709,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,대정로36번길,1,204-11,2022-08-24 14:41:06,"의료시설||약국||한약국,한약방",False
10929,10930,1264941,우리온누리약국,,Woori Onnuri Pharmacy,Shops and Service,Pharmacy,126.71405089999995,37.45601889999979,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월로,212,23,2022-08-16 16:52:33,의료시설||약국||온누리약국,False
12350,12351,934353,이약국,,this pharmacy,Shops and Service,Pharmacy,126.71891278269828,37.4614301391369,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,백범로,275,913-21,2022-08-18 12:00:50,의료시설||약국||옵티마케어,False
12365,12366,272611,맑은약국,,Sunny Pharmacy ,Shops and Service,Pharmacy,126.69478913321488,37.44215627613948,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,경원대로652번길,31,493-6,2022-08-18 12:00:50,의료시설||약국||메디팜,False
14504,14505,1016471,서울당온누리약국,서울당약국,Seoul Dangonnuri Pharmacy,Shops and Service,Pharmacy,126.71087756437387,37.52273950578829,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,부평북로,159,403-24,2022-08-18 12:00:50,의료시설||약국||온누리약국,False
17455,17456,4350701,메디팜 우리들약국,,Medipharm Wooridul Pharmacy,Shops and Service,Pharmacy,126.65568245654592,37.602583613668635,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,187,638-1,2022-09-06 15:18:26,의료시설||약국||메디팜,False
17468,17469,941709,부평온누리약국,,Bupyeong Onnuri Pharmacy,Shops and Service,Pharmacy,126.72236944671698,37.49963338230027,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,90,440-5,2022-08-18 12:00:50,의료시설||약국||온누리약국,False
18555,18556,4333591,살맛나는온누리약국,살맛나는약국,Tasty Onnuri Pharmacy,Shops and Service,Pharmacy,126.73167899919036,37.46151012867192,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수서로,52,1117-1,2022-08-16 16:52:33,의료시설||약국||온누리약국,False
21338,21339,309400,새유진온누리약국,새유진약국,Saeyujin Onnuri Pharmacy,Shops and Service,Pharmacy,126.70987062749889,37.534069537668,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,안남로,571,51-10,2022-08-18 12:00:50,의료시설||약국||온누리약국,False
21989,21990,3130924,한마음한약국,,Hanmaeum Oriental Pharmacy,Shops and Service,Pharmacy,126.6783607883669,37.54216123271991,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,심곡로,79,301-13,2022-08-24 14:41:06,"의료시설||약국||한약국,한약방",False
23147,23148,5683324,살맛나는 온누리약국,살맛나는약국,Tasty Onnuri Pharmacy,Shops and Service,Pharmacy,126.72253816910693,37.4944538962491,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,33,543-41,2022-08-12 13:15:03,의료시설||약국||온누리약국,False
23282,23283,232186,행복한온누리약국,,Happy Onnuri Pharmacy,Shops and Service,Pharmacy,126.72459609700891,37.48516408653348,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,동수로,54,667-7,2022-09-06 15:18:26,의료시설||약국||온누리약국,False
23426,23427,3999753,큰샘온누리약국,,Keunsaem Onnuri Pharmacy,Shops and Service,Pharmacy,126.49179019999984,37.74186019999989,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,갑곳리,중앙로,9,203-19,2022-08-16 16:52:33,의료시설||약국||온누리약국,False
