,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
634,635,4338672,우정옷수선,우정수선,friendship clothes repair,Shops and Service,Repair Services,126.73524615812694,37.57814526948513,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,장기로,22,148,2019-11-14 0:00:00,"쇼핑,편의||수리,수선||수선||옷수선",False
1224,1225,5688470,박의상실,,Loss of Park,Shops and Service,Repair Services,126.63700998942483,37.471745678901065,대한민국,KOR,KOR,인천광역시,동구,,창영동,,서해대로513번길,5,9,2021-12-23 15:49:18,"쇼핑,편의||수리,수선||수선||옷수선",False
1265,1266,3121744,옷수선이야기,,clothes mending story,Shops and Service,Repair Services,126.64902261028408,37.46605250210548,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,참외전로,314-1,129-76,2022-05-01 12:37:48,"쇼핑,편의||수리,수선||수선||옷수선",False
1682,1683,27037327,해바라기옷수선,,sunflower clothes repair,Shops and Service,Repair Services,126.64784386999794,37.462105389366585,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,미추로20번길,7,190-28,2022-05-01 12:37:48,"쇼핑,편의||수리,수선||수선||옷수선",False
1761,1762,27182161,가방수선하는남자,,bag mending man,Shops and Service,Repair Services,126.69505897162588,37.44732636212077,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로3번길,28-22,1389,2022-07-13 13:54:25,"쇼핑,편의||수리,수선||수선||옷수선",False
2078,2079,20184676,모두수선,,repair all,Shops and Service,Repair Services,126.65740876336093,37.45529620820229,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인주대로,184-2,139-4,2021-12-23 15:49:18,"쇼핑,편의||수리,수선||수선||옷수선",False
2362,2363,3443009,쿠첸서비스센터 부평점,리홈쿠첸A/S,Cuchen Service Center Bupyeong,Shops and Service,Repair Services,126.7092525999769,37.47561378212698,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,경인로,737,578-3,2022-08-12 13:15:03,"쇼핑,편의||수리,수선||수리||가전제품수리||리홈,쿠첸서비스센터",False
2463,2464,3123562,TG삼보컴퓨터학익문학점,티지삼보컴퓨터학익문학점,TG Sambo Computer Science Ik Literature Branch,Shops and Service,Repair Services,126.68204289724996,37.43876962860167,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로541번길,3,342-6,2022-05-01 12:37:48,"쇼핑,편의||수리,수선||수리||컴퓨터수리||컴퓨터수리-일반",False
2686,2687,27090070,구월 컴퓨터수리,,September computer repair,Shops and Service,Repair Services,126.70386762153588,37.44400519394198,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,성말로32번길,28,1173-15,2022-05-01 12:37:48,"쇼핑,편의||수리,수선||수리||컴퓨터수리||컴퓨터수리-일반",False
2705,2706,5682794,주안수선,,Juan repair,Shops and Service,Repair Services,126.67841620643388,37.46897167727457,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,길파로33번길,22,8-33,2019-11-14 23:05:38,"쇼핑,편의||수리,수선||수선||옷수선",False
