,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
595,596,1262518,장하대중사우나,장하사우나,Jangha DaejungSauna,Shops and Service,Spa,126.67610639522088,37.516844708293995,대한민국,KOR,KOR,인천광역시,서구,,가정동,,원창로240번길,5-1,511-8,2022-08-16 16:52:33,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
1093,1094,1262263,88사우나,팔팔사우나,88 Sauna,Shops and Service,Spa,126.7122625000039,37.46557629999717,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로644번길,82,117-13,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
1455,1456,3106865,송현한증막,,Songhyeon Han steam room,Shops and Service,Spa,126.63423999999992,37.4759989999998,대한민국,KOR,KOR,인천광역시,동구,,송현동,,화도진로,38,90-8,2021-12-23 15:49:18,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
1587,1588,1262946,태평대중탕,,Taepyeong large bath,Shops and Service,Spa,126.70492800942688,37.470590894552174,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로422번길,63,520-26,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
2131,2132,1245936,동호사우나,,Dongho Sauna,Shops and Service,Spa,126.68227839999994,37.55157789999983,대한민국,KOR,KOR,인천광역시,서구,,공촌동,,심곡로,208,309-10,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
3044,3045,212857,황제한증막사우나,황제사우나,Emperor steam room sauna,Shops and Service,Spa,126.6727105285579,37.51709192203511,대한민국,KOR,KOR,인천광역시,서구,,신현동,,가정로,361,283-17,2022-05-23 11:08:19,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
3148,3149,2600730,천지연보석사우나,천재연사우나,Cheonjiyeon Jewel Sauna,Shops and Service,Spa,126.64830165745188,37.458782318096375,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,독배로,443,294-11,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
3219,3220,379057,세현사우나,,SehyeonSauna,Shops and Service,Spa,126.69465924794514,37.471313511739645,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로,520,356-4,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
5873,5874,2150263,남양목욕탕,,Namyang Bath,Shops and Service,Spa,126.7005167575149,37.5074555787355,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,길주로348번길,27,87-1027,2021-12-23 15:49:18,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
6418,6419,1262779,약산대중탕,,Yaksan Daejungtang,Shops and Service,Spa,126.73491445250195,37.4613544156816,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수로,63,71,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
6540,6541,3337530,부흥한증막,,Revival steam room,Shops and Service,Spa,126.65053257219486,37.45733350161666,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인주대로123번길,20,459-14,2019-11-14 23:19:12,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
6899,6900,713819,태평양24시보석불가마,태평양보석불가마,Pacific 24 hour jewel kiln,Shops and Service,Spa,126.65350499999995,37.42827799999977,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,비류대로,170,265-8,2022-05-01 12:37:48,"쇼핑,편의||목욕,찜질||찜질방",False
7557,7558,224485,진성불가마사우나,진성사우나,Jinseong Bulga Masa Sauna,Shops and Service,Spa,126.6747170665139,37.458272305057896,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,제일로40번길,7,446-12,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
8306,8307,742110,성강해수사우나,성강사우나,Seonggang Seawater Sauna,Shops and Service,Spa,126.70750668988788,37.39475644321736,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,논현고잔로109번길,106,256-5,2022-09-06 15:18:26,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
14109,14110,1257896,한신목욕탕,,Hanshin Bath,Shops and Service,Spa,126.68696120794888,37.48648237808058,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,고래울로43번길,5,359-3,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
17404,17405,1263445,엔돌핀사우나,엔돌핀찜질타운,endorphin sauna,Shops and Service,Spa,126.71976010910394,37.45686242734829,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,836,342-256,2022-08-16 16:52:33,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
17442,17443,761257,천국해수사우나,천국사우나,Heaven Seawater Sauna,Shops and Service,Spa,126.7271944923879,37.44965159717748,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,복개서로35번길,27-17,1316-8,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
17886,17887,486642,금양24시해수사우나,금양해수사우나,Geumyang 24 Hour Seawater Sauna,Shops and Service,Spa,126.67898499999994,37.4431139999998,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,510,1298,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||찜질방",False
18991,18992,5672229,고려해수탕,,Goryeo Sugar,Shops and Service,Spa,126.60322320052884,37.45377150097836,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로43번길,18,58-12,2022-08-12 13:15:03,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
19308,19309,27183858,서광불가마대중목욕탕,,Seogwang Bulgama Public Bath,Shops and Service,Spa,126.73952422190794,37.44319659285968,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,66,1039-2,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
19893,19894,1856368,서해해수탕,,West Sea Water Soup,Shops and Service,Spa,126.60437114985385,37.45603533131146,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로,15-1,27-232,2022-08-24 14:41:06,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
19922,19923,111807,강화리빙스파랜드,리빙스파랜드,Ganghwa Living Spa Land,Shops and Service,Spa,126.50039999999984,37.7433428999999,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,갑곳리,갑룡길73번길,1,79,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
20302,20303,2599605,주경사우나,,JugyeongSauna,Shops and Service,Spa,126.63663660128682,37.46733173341816,대한민국,KOR,KOR,인천광역시,중구,,선화동,,서해대로464번길,7,1-1,2020-01-14 23:38:56,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
23259,23260,673503,정원해수피아,정원해수사우나,garden seasupia,Shops and Service,Spa,126.67212531064187,37.500062387086686,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,172,579-7,2022-08-18 12:00:50,"쇼핑,편의||목욕,찜질||목욕탕,사우나",False
