,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
4254,4255,4341017,삼천리자전거 논현점,,Samchully Bicycle Nonhyeon Branch,Shops and Service,Sporting Goods Store,126.70790294752788,37.400156390813855,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,호구포로,189,648-1,2022-08-30 9:43:30,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
4508,4509,27426320,콜리스골프,,Colise Golf,Shops and Service,Sporting Goods Store,126.73396369999996,37.52468689999981,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,아나지로374번길,11,709-7,2022-08-19 9:48:28,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
4989,4990,5455042,알톤스포츠 청라루비로점,ALTONSPORT 청라루비로점,Alton Sports Cheongna Rubiro Branch,Shops and Service,Sporting Goods Store,126.64244535347405,37.537664231963134,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라루비로144번길,21,145-3,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||알톤",False
6095,6096,3131574,피그스포츠,,pig sports,Shops and Service,Sporting Goods Store,126.67606958660588,37.5172739353996,대한민국,KOR,KOR,인천광역시,서구,,가정동,,원창로,240,511,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
6960,6961,4328276,삼천리자전거 구월점,,Samchully Bicycle Guwol,Shops and Service,Sporting Goods Store,126.71936659966188,37.449335300102064,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,739-1,1285-15,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
6993,6994,20200182,CIS스포츠,씨아이에스스포츠,CIS Sports,Shops and Service,Sporting Goods Store,126.66783836922396,37.423705993562685,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,솔샘로,20,448-1,2021-12-23 15:49:18,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
7120,7121,4342121,참골프,,Charm Golf,Shops and Service,Sporting Goods Store,126.6573004481749,37.55285849177339,대한민국,KOR,KOR,인천광역시,서구,,경서동,,경명대로,441,249-40,2022-09-06 15:18:26,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
7345,7346,2602002,영광체육사,,Yeonggwang Athletic Center,Shops and Service,Sporting Goods Store,126.65615009999993,37.46768329999979,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로,188,80-72,2022-08-04 10:04:43,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
9344,9345,2618897,SG스포츠,에스지스포츠,SG Sports,Shops and Service,Sporting Goods Store,126.67002874760388,37.479475428242566,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,장고개로117번길,18-5,180-179,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||스포츠용품||무술용품,장비",False
10025,10026,6205998,알톤스포츠 바이크코리아,ALTONSPORT 바이크코리아,Alton Sports Bike Korea,Shops and Service,Sporting Goods Store,126.6729624208619,37.5152549955597,대한민국,KOR,KOR,인천광역시,서구,,가정동,,가정로,340-1,517-5,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||알톤",False
10156,10157,4352678,알톤자전거 서창점, ,Alton Bike Seochang,Shops and Service,Sporting Goods Store,126.75131557424545,37.42286501128768,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,서창남순환로10번길,53,669-3,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||알톤",False
10358,10359,4332658,정도스포츠,탱크골프샵,Jeong-Do Sports,Shops and Service,Sporting Goods Store,126.77793876322895,37.577940791581135,대한민국,KOR,KOR,인천광역시,계양구,,상야동,,벌말로,553,37-12,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
11022,11023,27062573,버디골프피팅샵,,Buddy Golf Fitting Shop,Shops and Service,Sporting Goods Store,126.67527571942792,37.588159775113326,대한민국,KOR,KOR,인천광역시,서구,,당하동,,서곶로,788,1098-5,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
11487,11488,1933208,DM자전거삼종윤업사,,DM Bicycle Trilogy,Shops and Service,Sporting Goods Store,126.73104000961598,37.501833996167,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,184,98-87,2019-11-14 23:11:36,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||DM",False
11573,11574,4330297,아레나 인천송림점,ARENA 인천송림점,Arena Incheon Songrim Branch,Shops and Service,Sporting Goods Store,126.64759983283584,37.48224910085949,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송미로,17-12,11-112,2020-01-14 23:41:16,"쇼핑,편의||취미,레저용품||스포츠용품||수상스포츠용품||아레나",False
12444,12445,27237259,아식스 모다아울렛인천점,,Asics Moda Outlet Incheon,Shops and Service,Sporting Goods Store,126.64772449999984,37.50993619999977,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||아식스",False
15945,15946,27455818,삼천리자전거 연수1동점,,Samchully Bicycle Yeonsu 1-dong,Shops and Service,Sporting Goods Store,126.68135365989193,37.421634881848576,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,함박뫼로,128,541,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
17202,17203,27192891,삼천리자전거 부평역점,,Samchully Bicycle Bupyeong Station Branch,Shops and Service,Sporting Goods Store,126.7224445175149,37.494860963962175,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,37-2,543-34,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
17355,17356,2415525,프로스펙스인하점,프로스펙스,Prospex Inha,Shops and Service,Sporting Goods Store,126.65074879999995,37.4476645999998,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,소성로,6,648,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||프로스펙스",False
17705,17706,27050681,스포츠 랜드,,sports land,Shops and Service,Sporting Goods Store,126.68169089619988,37.41881859841576,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,새말로107번길,6,577,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||테니스용품",False
18000,18001,20199726,카파스골프,,kapas golf,Shops and Service,Sporting Goods Store,126.68286157652696,37.4737869856491,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,방축로,357,606-39,2021-12-23 15:49:18,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
18091,18092,27117967,몰간골프,,Morgan Golf,Shops and Service,Sporting Goods Store,126.67626389784688,37.546728125777086,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,대평로,5,239,2022-08-12 13:15:03,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
18319,18320,1871218,삼천리자전거 원당점,,Samchully Bike Wondang Store,Shops and Service,Sporting Goods Store,126.69897012902888,37.59252438635672,대한민국,KOR,KOR,인천광역시,서구,,당하동,,고산후로,97,1028-21,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
19844,19845,4340730,삼천리자전거 송도그린스퀘어점,,Samchully Bicycle Songdo Green Square Branch,Shops and Service,Sporting Goods Store,126.65151386835484,37.37169528212864,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도문화로28번길,81,192-1,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
20237,20238,27021461,푸마 롯데백화점인천점,,Puma Lotte Department Store Incheon,Shops and Service,Sporting Goods Store,126.70172873999988,37.44207323999978,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||푸마",False
20286,20287,27021779,르꼬끄스포르티브 롯데백화점 인천점,,Le Coq Sportive Lotte Department Store Incheon Branch,Shops and Service,Sporting Goods Store,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||르꼬끄스포르티브",False
21506,21507,27131904,언더아머 모다아울렛 인천점,,Under Armor Moda Outlet Incheon Branch,Shops and Service,Sporting Goods Store,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-08-12 13:15:03,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||언더아머",False
22756,22757,2609961,인천골프백화점,,Incheon Golf Department store,Shops and Service,Sporting Goods Store,126.69366157598192,37.5220676619583,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,평천로,7,374,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
22901,22902,27204673,카파 LF스퀘어인천점,,Kappa LF Square Incheon,Shops and Service,Sporting Goods Store,126.66831000035984,37.419288301420366,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,용담로,14,455,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||카파",False
23278,23279,1856887,휠라 신포중앙점,FILA 신포중앙점,FILA Sinpo Jungang Branch,Shops and Service,Sporting Goods Store,126.62803149999984,37.472110099999576,대한민국,KOR,KOR,인천광역시,중구,,내동,,개항로,50,209-31,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||휠라코리아",False
23579,23580,1872634,삼천리자전거 대백자전거점,,Samchully Bicycle Daebaek Bicycle Store,Shops and Service,Sporting Goods Store,126.66863552105104,37.51679934242686,대한민국,KOR,KOR,인천광역시,서구,,신현동,,염곡로,361-1,137-23,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
23592,23593,27089614,본스포츠,,Bon Sports,Shops and Service,Sporting Goods Store,126.67307217428387,37.48518504573688,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가정로8번길,18,564-54,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||스포츠용품||야구용품",False
24086,24087,27182035,바이키 인천시청점,,Bykey Incheon City Hall,Shops and Service,Sporting Goods Store,126.69862541088791,37.45348414990838,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,84,1092-1,2022-08-08 10:29:42,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||바이키",False
24291,24292,20184586,에이틴골프피팅,,eighteen golf fitting,Shops and Service,Sporting Goods Store,126.74148317086195,37.49513693353081,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,수변로,99,120-410,2022-08-12 13:15:03,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
24424,24425,27180641,인스포츠,,in sports,Shops and Service,Sporting Goods Store,126.71047532481889,37.40860031938108,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,함박뫼로,438-18,579-7,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||스포츠용품||테니스용품",False
24705,24706,1929353,엘파마자전거팍스바이크,,El Pharma Bike Pax Bike,Shops and Service,Sporting Goods Store,126.65460827650897,37.60272062604785,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,197,635-2,2022-06-13 10:44:13,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||엘파마",False
25102,25103,27021783,아레나 롯데백화점 인천점,,Arena Lotte Department Store Incheon,Shops and Service,Sporting Goods Store,126.70195051999988,37.44253317999976,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||수상스포츠용품||아레나",False
25128,25129,27184797,NBA STYLE 부평아이즈빌점,,NBA STYLE Bupyeong Eyesville,Shops and Service,Sporting Goods Store,126.70382262723588,37.521722227361806,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,489,386,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||NBA",False
25233,25234,27208942,e스포츠,,esports,Shops and Service,Sporting Goods Store,126.72701584218392,37.54406287989292,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로1079번길,6-1,921-14,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||스포츠용품||무술용품,장비",False
25250,25251,27221566,스포츠용품 전문점 이가 스포츠,,Sporting Goods Store Iga Sports,Shops and Service,Sporting Goods Store,126.72849671691294,37.5461730262946,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,주부토로,581,906-77,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
25834,25835,20761176,강화체육사,,Ganghwa gymnast,Shops and Service,Sporting Goods Store,126.48605199174794,37.747257668164735,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,관청리,동문안길,9-1,488-2,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
27215,27216,6209948,알톤스포츠 갈산점,ALTONSPORT 갈산점,Alton Sports Galsan Branch,Shops and Service,Sporting Goods Store,126.73126954559191,37.51038361197271,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,장제로,277,369,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||알톤",False
27689,27690,4342339,데상트 인천신포점,DESCENTE 신포점,Descente Incheon Sinpo Branch,Shops and Service,Sporting Goods Store,126.62806476836084,37.47234676245076,대한민국,KOR,KOR,인천광역시,중구,,내동,,개항로,49,134-2,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||데상트",False
27773,27774,1851777,삼천리자전거 동춘일출점,,Samchully Bicycle Dongchunil Branch,Shops and Service,Sporting Goods Store,126.66965219999955,37.40455639999976,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,먼우금로63번길,13,942,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
28008,28009,27072672,르꼬끄스포르티브 아이즈빌부평점,,Le Coq Sportive Eyesville Bupyeong Branch,Shops and Service,Sporting Goods Store,126.70433300036092,37.521728001395786,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,489,386,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||르꼬끄스포르티브",False
29775,29776,3745241,골프존마켓 인천 주안점,GolfzoneMarket인천주안점,Golf Zone Market Incheon Juan,Shops and Service,Sporting Goods Store,126.69228848567188,37.45033463346458,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로,500,1563-7,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프존마켓",False
30600,30601,3166958,휠라인티모 신포점,FILAINTIMO 신포점,Wheel Line Teemo Sinpo Branch,Shops and Service,Sporting Goods Store,126.62712902693085,37.471840382806974,대한민국,KOR,KOR,인천광역시,중구,,내동,,개항로,40-2,213-5,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||휠라코리아",False
30632,30633,3657977,빅바이크,,Big Bike,Shops and Service,Sporting Goods Store,126.49235764657968,37.49490897067695,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종대로,118,2806-1,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||산악자전거",False
31967,31968,27044729,푸마 모다아울렛 인천점,,Puma Moda Outlet Incheon Branch,Shops and Service,Sporting Goods Store,126.64776761073487,37.510303193855584,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||프랜차이즈||푸마",False
32241,32242,3079645,인천스포츠,,Incheon Sports,Shops and Service,Sporting Goods Store,126.63651105108084,37.472506540174855,대한민국,KOR,KOR,인천광역시,동구,,창영동,,금곡로,8-1,4-1,2022-08-24 14:41:06,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
33177,33178,5671297,인트로스포츠 / 노바복싱,,Intro Sports,Shops and Service,Sporting Goods Store,126.66930049999993,37.49855239999981,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가정로151번길,22,104-6,2022-08-30 9:43:30,"쇼핑,편의||취미,레저용품||스포츠용품||권투용품",False
34000,34001,6209748,현대스포츠,,Hyundai Sports,Shops and Service,Sporting Goods Store,126.64283883457588,37.46307233585827,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,샛골로,2,431-26,2021-12-23 15:49:18,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
34729,34730,2411797,삼천리자전거 간석남부점,,Samchully Bicycle Ganseok Nambu Branch,Shops and Service,Sporting Goods Store,126.70840696064715,37.45721483192832,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로837번길,1,292-3,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||삼천리자전거",False
34769,34770,27103455,빅터 인천중구점,VICTOR 인천중구점,Victor Incheon Jung-gu,Shops and Service,Sporting Goods Store,126.6288670627328,37.45128250650336,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,축항대로291번길,38,33-39,2022-08-16 16:52:33,"쇼핑,편의||취미,레저용품||스포츠용품||배드민턴용품",False
35158,35159,3449368,만물체육사,,all gymnast,Shops and Service,Sporting Goods Store,126.70156124509688,37.504582981274886,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,원적로,317-1,87-758,2022-05-01 12:37:48,"쇼핑,편의||취미,레저용품||스포츠용품||스포츠용품-일반",False
35159,35160,1873146,삼산골프피팅샵,,Samsan Golf Fitting Shop,Shops and Service,Sporting Goods Store,126.73479778641592,37.50755392534499,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,충선로203번길,24,460-9,2022-08-18 12:00:50,"쇼핑,편의||취미,레저용품||스포츠용품||골프용품||골프용품-일반",False
35423,35424,1932025,첼로자전거인천바이칼,,Cello,Shops and Service,Sporting Goods Store,126.72242576035099,37.494822777569006,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,37-2,543-34,2022-06-13 10:44:13,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||첼로",False
36003,36004,1929716,코렉스자전거 연수대리점,,Corex Bike Yeonsu Agency,Shops and Service,Sporting Goods Store,126.68133377619397,37.42164519925358,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,함박뫼로,128,541,2019-08-08 23:05:35,"쇼핑,편의||취미,레저용품||자전거||프랜차이즈||코렉스자전거",False
