,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2474,2475,838071,한국타이어성원자동차공업사,T스테이션성원자동차공업사,"Hankook Tire Sungwon Automobile Co., Ltd.",Shops and Service,Tire Store,126.67778707258088,37.49937857026018,대한민국,KOR,KOR,인천광역시,서구,,석남동,,서달로11번길,1,566-3,2022-08-12 13:15:03,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
3810,3811,946628,한국타이어 경인자동차공업사,T스테이션 경인자동차공업사,Hankook Tire Gyeongin Automobile Ind.,Shops and Service,Tire Store,126.6928222774339,37.469139193885496,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,석정로497번길,80,617-102,2022-08-24 14:41:06,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
18859,18860,966943,한국타이어새한자동차공업사,T스테이션새한자동차공업사,Hankook Tire Saehan Motor Company,Shops and Service,Tire Store,126.66204519633192,37.452178596187565,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,한나루로489번길,96,98-12,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
19110,19111,2618027,한국타이어병호자동차공업사,병호자동차공업사,"Hankook Tire Byeongho Automobile Co., Ltd.",Shops and Service,Tire Store,126.65103229868085,37.48265234879238,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송미로,50,8-547,2022-08-24 14:41:06,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
25873,25874,3138383,타이어나라,,Thai country,Shops and Service,Tire Store,126.6703417129119,37.46959647275747,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로329번길,52,120-1,2022-08-24 14:41:06,"산업,유통||자동차||수리||타이어,휠||타이어,휠-일반",False
33017,33018,715516,한국타이어 믿음자동차공업사,믿음자동차공업사,"Hankook Tire Trust Automobile Co., Ltd.",Shops and Service,Tire Store,126.66728799617673,37.495807312365194,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,염곡로,128-2,148-48,2022-08-16 16:52:33,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
47373,47374,5686015,헤르메스타이어,T스테이션헤르메스대리점,Hermes styre,Shops and Service,Tire Store,126.6136055990068,37.47874784383757,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로,56,6-150,2022-08-16 16:52:33,"산업,유통||자동차||수리||타이어,휠||타이어,휠-일반",False
62398,62399,1259689,한국타이어 아진자동차타이어,T스테이션아진자동차타이어,Hankook Tire Ajin Automobile Tire,Shops and Service,Tire Store,126.66667202907328,37.47564786036992,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,송림로,304,51-1,2022-08-16 16:52:33,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
70920,70921,27284637,타이어국가대표,,Thai national team,Shops and Service,Tire Store,126.732896249768,37.52025189604591,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,후정로,2,222-31,2022-08-12 13:15:03,"산업,유통||자동차||수리||타이어,휠||타이어,휠-일반",False
97887,97888,260911,한국타이어창일자동차공업사,창일자동차공업사,"Hankook Tire Changil Automobile Co., Ltd.",Shops and Service,Tire Store,126.65148315441488,37.58284732079253,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,드림로,114,59,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
100195,100196,1039021,금호타이어우성자동차공업사,우성자동차공업사,"Kumho Tire Woosung Automobile Co., Ltd.",Shops and Service,Tire Store,126.64649380479986,37.42174746107436,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,능허대로149번길,24,499-2,2022-08-24 14:41:06,"산업,유통||자동차||수리||타이어,휠||금호타이어",False
112928,112929,6210961,타이어프로 인천법원점,,Continental Tire,Shops and Service,Tire Store,126.66771983019528,37.44711691731835,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,한나루로,450,4-19,2022-08-08 10:29:42,"산업,유통||자동차||수리||타이어,휠||타이어프로",False
118950,118951,4346935,한국타이어 신용자동차정비공업사 신용판매,T스테이션신용자동차정비공업사신용판매,Hankook Tire Credit Automobile Maintenance Company Credit Sales,Shops and Service,Tire Store,126.67548331925433,37.50060470570288,대한민국,KOR,KOR,인천광역시,서구,,석남동,,석남로,124,567-11,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
120218,120219,20169193,대성카타이어,,Daesung kata,Shops and Service,Tire Store,126.48300853664784,37.71063497247577,대한민국,KOR,KOR,인천광역시,강화군,,선원면,냉정리,강화동로,871,229-1,2021-12-23 15:49:18,"산업,유통||자동차||수리||타이어,휠||타이어,휠-일반",False
126293,126294,297124,금호타이어 신라자동차공업사,KUMHOTIRE 신라자동차공업사,"Kumho Tire Shilla Automobile Co., Ltd.",Shops and Service,Tire Store,126.6859018794049,37.47849112222567,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가좌로84번길,24,484,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||금호타이어",False
128386,128387,4340662,한국타이어한진타이어,T스테이션한진타이어,Hanjin Tire Hanjin Tire,Shops and Service,Tire Store,126.61647059999981,37.47622449999969,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,제물량로,273,7-64,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||한국타이어",False
138790,138791,27070730,타이어짱 송도점,,Thai-chan Songdo Branch,Shops and Service,Tire Store,126.66337539879387,37.39538423199965,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,아암대로,841,916,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||타이어,휠-일반",False
142050,142051,239578,금호타이어 코리아자동차공업사,KUMHOTIRE코리아자동차공업사,Kumho Tire Korea Automobile Ind.,Shops and Service,Tire Store,126.67023312234387,37.46930336118198,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로329번길,47,119-36,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||금호타이어",False
143997,143998,897822,금호타이어 원일종합자동차공업사,KUMHOTIRE 원일종합자동차공업사,"Kumho Tire Wonil General Automobile Co., Ltd.",Shops and Service,Tire Store,126.66309717599792,37.50339353603499,대한민국,KOR,KOR,인천광역시,서구,,석남동,,거북로,12,223-668,2022-05-01 12:37:48,"산업,유통||자동차||수리||타이어,휠||금호타이어",False
