,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2373,2374,27114776,뮤즈오토,,Muse Auto,Shops and Service,Used Car Dealership,126.66259593943388,37.48963539616928,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,봉수대로,158,178-105,2022-08-08 10:29:42,"산업,유통||자동차||판매||중고차||중고차-일반",False
2601,2602,6150718,마이마트레이딩,,My Mart Trading,Shops and Service,Used Car Dealership,126.63897180768484,37.417852072292554,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,아암대로,499,194-75,2022-05-01 12:37:48,"산업,유통||자동차||판매||중고차||중고차-일반",False
3564,3565,1042702,인천교자동차매매단지,인천교매매단지,Incheon Kyo Car Sales Complex,Shops and Service,Used Car Dealership,126.6655028999999,37.480198599999774,대한민국,KOR,KOR,인천광역시,동구,,송림동,,방축로,191,297-21,2022-05-01 12:37:48,"산업,유통||자동차||판매||중고차||중고차-일반",False
3977,3978,5665437,부평삼일중고차,삼일상사,Bupyeong Samil Used Car,Shops and Service,Used Car Dealership,126.75225194189692,37.48262251261176,대한민국,KOR,KOR,인천광역시,부평구,,구산동,,무네미로,521,7-4,2019-12-19 9:57:34,"산업,유통||자동차||판매||중고차||중고차-일반",False
4039,4040,6089844,오토윈스,,autowins,Shops and Service,Used Car Dealership,126.64460259999996,37.42067339999977,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,능허대로,136,468-13,2022-07-19 20:20:05,"산업,유통||자동차||판매||중고차||중고차-일반",False
6194,6195,27425675,빠빠빠중고차,,Daddy Daddy Used Car,Shops and Service,Used Car Dealership,126.66259593943388,37.48963539616928,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,봉수대로,158,178-105,2022-08-08 10:29:42,"산업,유통||자동차||판매||중고차||중고차-일반",False
6570,6571,6474829,중고차병원,,Used car hospital,Shops and Service,Used Car Dealership,126.71775680313594,37.40328129115427,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논현로,105,633-1,2021-12-23 15:49:18,"산업,유통||자동차||판매||중고차||중고차-일반",False
8560,8561,27192877,청마모터스,,Cheongma Motors,Shops and Service,Used Car Dealership,126.66570979693992,37.490041479219194,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,염곡로,52,150-19,2022-05-01 12:37:48,"산업,유통||자동차||판매||중고차||중고차-일반",False
10338,10339,27184918,유일모터스상사,,Yooil Motors Corp.,Shops and Service,Used Car Dealership,126.70528625704787,37.520583531024506,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,평천로,118,9-12,2022-05-01 12:37:48,"산업,유통||자동차||판매||중고차||중고차-일반",False
10349,10350,27153596,중고차지식인,,Used car knowledge,Shops and Service,Used Car Dealership,126.66644493657088,37.49700104493578,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,염곡로,149,173-203,2022-05-01 12:37:48,"산업,유통||자동차||판매||중고차||중고차-일반",False
