,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
3173,3174,27446746,이마트24 강화양도점,,Emart 24 Ganghwa Transfer Branch,Shops and Service,Convenience Store,126.42203469999978,37.66098219999986,대한민국,KOR,KOR,인천광역시,강화군,,양도면,하일리,강화남로,687,249,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||이마트24",False
3301,3302,27444483,이마트24 계산노바체점,,Emart 24 Gyesan Nova Che,Shops and Service,Convenience Store,126.72328749108182,37.54053629755881,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양대로,188,956-7,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||이마트24",False
4353,4354,27449122,이마트24 연수주공점,EMART24 연수주공점,Emart 24 Yeonsujugong Branch,Shops and Service,Convenience Store,126.69068122908278,37.42001269095205,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,함박뫼로,221,533-5,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||이마트24",False
6869,6870,26873768,미니스톱 영종웨스턴점,,Mini Stop Yeongjong Western,Shops and Service,Convenience Store,126.58083211026178,37.49164857231816,대한민국,KOR,KOR,인천광역시,중구,,중산동,,은하수로29번길,47,1953-2,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||미니스톱",False
7802,7803,754908,미니스톱 구월시청점,MINISTOP 구월시청점,Mini Stop Guwol City Hall,Shops and Service,Convenience Store,126.70429059940588,37.45198202760728,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,미래로,21,1129-17,2022-08-18 12:00:50,"쇼핑,편의||종합판매점||편의점||프랜차이즈||미니스톱",False
9003,9004,27448889,이마트24 인천동춘서해점,EMART24 인천동춘서해점,Emart 24 Incheon Dongchun Seohae Branch,Shops and Service,Convenience Store,126.66491140020452,37.40844294866948,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,봉재산로36번안길,21,1136,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||이마트24",False
10898,10899,27444677,이마트24 영종운서타운점,EMART24 영종운서타운점,Emart 24 Yeongjong Unseo Town,Shops and Service,Convenience Store,126.51047512299589,37.48292280685448,대한민국,KOR,KOR,인천광역시,중구,,운서동,,넙디로,60,2913-3,2022-09-06 15:18:26,"쇼핑,편의||종합판매점||편의점||프랜차이즈||이마트24",False
11518,11519,20068956,미니스톱 주안본점,MINISTOP 주안본점,Mini Stop Juan Main Branch,Shops and Service,Convenience Store,126.68267348794696,37.463020066757046,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로734번길,37,132-4,2022-08-18 12:00:50,"쇼핑,편의||종합판매점||편의점||프랜차이즈||미니스톱",False
11870,11871,27447648,CU 연수선학점,,CU training course credits,Shops and Service,Convenience Store,126.69638879999992,37.430812499999774,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,넘말로55번길,6-12,386-4,2022-08-16 16:52:33,"쇼핑,편의||종합판매점||편의점||프랜차이즈||CU",False
13332,13333,5660251,미니스톱 영종운남동로점,MINISTOP영종운남동로점,Mini Stop Yeongjong Yunnam Dongro Branch,Shops and Service,Convenience Store,126.53421224115404,37.48928881677894,대한민국,KOR,KOR,인천광역시,중구,,운남동,,운남로128번길,9,1560-3,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||편의점||프랜차이즈||미니스톱",False
