,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
12543,12544,5709469,동서사무용가구,동서사무가구,East West Office Furniture,Shops and Service,Furniture Store,126.72815567667593,37.45723521554699,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만경로28번길,24,878,2019-11-14 23:05:38,"쇼핑,편의||가구,인테리어||가구||사무용가구||사무용가구-일반",False
20174,20175,27553949,라자가구 부평삼거리점,,Rajagagu Bupyeong Samgeori Branch,Shops and Service,Furniture Store,126.70999420547894,37.47625701414759,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,746,772-4,2022-09-06 15:18:26,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
26414,26415,2151552,신정은다가구,,Shin Jeong-eun Da House,Shops and Service,Furniture Store,126.67905318062292,37.46193676596069,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로90번길,42-11,222-19,2021-12-23 15:49:18,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
28330,28331,1870375,에넥스 주안전시장,,Enex state safety market,Shops and Service,Furniture Store,126.6882208604519,37.450503842134175,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로,464,1532-3,2022-08-18 12:00:50,"쇼핑,편의||가구,인테리어||가구||프랜차이즈||에넥스",False
44247,44248,5714995,라자가구주안대리점,Raja가구주안대리점,Rajagagujuan agency,Shops and Service,Furniture Store,126.67999180069488,37.44847265022447,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,572,1464-21,2019-11-14 0:00:00,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
49345,49346,1873012,모디쉬갤러리 본사 가구 전시장,,Modish Gallery Headquarters,Shops and Service,Furniture Store,126.71163789999994,37.399260799999766,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,청능대로,471,257-47,2022-08-19 9:48:28,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
53991,53992,2149400,영주가구,,permanent home,Shops and Service,Furniture Store,126.64860024768988,37.61432808975803,대한민국,KOR,KOR,인천광역시,서구,,금곡동,,봉수대로1532번안길,67-1,258,2020-01-14 23:40:55,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
65270,65271,4331816,새인천슈퍼개발,,Saecheon Super Development,Shops and Service,Furniture Store,126.7222713,37.448624899999785,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로744번길,57,1294-2,2022-08-08 10:29:42,"쇼핑,편의||가구,인테리어||가구||선반,앵글",False
68494,68495,1870333,파로마가구서인천점,,Paloma Furniture Seocheon Branch,Shops and Service,Furniture Store,126.66903157541488,37.4852011558995,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,백범로,804,574-8,2020-01-14 23:37:51,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
79789,79790,5709392,영광가전가구,영광가구매장,Youngwang Home Appliances,Shops and Service,Furniture Store,126.64829954623586,37.453109651584256,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독배로,374,204-13,2022-08-08 10:29:42,"쇼핑,편의||가구,인테리어||가구||중고가구",False
86300,86301,27135273,동서가구,,East-West Furniture,Shops and Service,Furniture Store,126.73737591534196,37.54805598659071,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,병방시장로,49,335,2022-08-12 13:15:03,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
109135,109136,2601131,동서가구 신부평점,,East-West Furniture Bride Rating,Shops and Service,Furniture Store,126.72373343761654,37.49693907192583,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,대정로,22,203-2,2022-08-24 14:41:06,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
123311,123312,3123000,동일가구,,same household,Shops and Service,Furniture Store,126.66483315091288,37.44404046535416,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,한나루로,407-2,261-50,2022-08-18 12:00:50,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
126247,126248,27249430,미소가전가구,,smile home appliances,Shops and Service,Furniture Store,126.73399099999996,37.54770629999981,대한민국,KOR,KOR,인천광역시,계양구,,임학동,,계양산로,163-1,3-8,2022-05-01 12:37:48,"쇼핑,편의||가구,인테리어||가구||중고가구",False
133876,133877,4328596,남동구장수가구,,Namdong-gu Jangsu-gu,Shops and Service,Furniture Store,126.72683498521992,37.455629735564784,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,323,889-13,2022-05-01 12:37:48,"쇼핑,편의||가구,인테리어||가구||중고가구",False
135299,135300,3124223,8형제가구,팔형제가구,8 siblings,Shops and Service,Furniture Store,126.66581727132792,37.467848601545775,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,숙골로,56,222-4,2022-08-16 16:52:33,"쇼핑,편의||가구,인테리어||가구||가구-일반",False
