,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1872,1873,1264603,배스킨라빈스 간석벽산,,Baskin Robbins Tidal Stone Mountain,Food,Ice Cream Shop,126.72054163330309,37.46445025187814,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,호구포로,917,225-273,2022-08-18 12:00:50,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
1927,1928,292594,배스킨라빈스 인천만수,배스킨라빈스31인천만수점,Baskin Robbins Incheonmansu,Food,Ice Cream Shop,126.73700392733264,37.4432774746988,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,44,1041-4,2022-08-18 12:00:50,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
3452,3453,3360590,배스킨라빈스작전홈플러스점,,Baskin Robbins Jakjeon Homeplus Branch,Food,Ice Cream Shop,126.72097900049594,37.52592599962942,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,27,448-7,2022-06-13 10:44:13,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
4601,4602,782110,배스킨라빈스 인천서구청,배스킨라빈스31 인천서구청,Baskin Robbins Incheon Seo-gu Office,Food,Ice Cream Shop,126.67503789999996,37.54373509999983,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,탁옥로,50,249,2022-08-30 9:43:30,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
7608,7609,5045110,배스킨라빈스 부개역남부점,배스킨라빈스31 부개역남부점,Baskin Robbins Bugae Station South Branch,Food,Ice Cream Shop,126.73947206254248,37.48666973702453,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로,1075,302-15,2022-08-12 13:15:03,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
7938,7939,3359949,배스킨라빈스 인하대병원,,Baskin Robbins Inha University Hospital,Food,Ice Cream Shop,126.63409550000009,37.4586785999997,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,인항로,27,7-206,2022-08-18 12:00:50,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
7978,7979,3811929,배스킨라빈스 부평구청점,,Baskin Robbins Bupyeong-gu Office,Food,Ice Cream Shop,126.72536800198864,37.50476624150041,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,길주남로,33,889-6,2022-08-12 13:15:03,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
8927,8928,27443364,배스킨라빈스 인천효성점,배스킨라빈스31 인천효성점,Baskin Robbins Incheon Hyosung Branch,Food,Ice Cream Shop,126.71034489999997,37.53366289999983,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,안남로,568,60-4,2022-08-30 9:43:30,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
10080,10081,900492,배스킨라빈스 인천작전역,배스킨라빈스31 인천작전역,Baskin Robbins Incheon Operation Area,Food,Ice Cream Shop,126.72278063965427,37.52773582378216,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,44,422-3,2022-08-18 12:00:50,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
11185,11186,27452761,배스킨라빈스 인천검단금호,,Baskin Robbins Incheon Geomdan Geumho,Food,Ice Cream Shop,126.71658309999992,37.59501259999985,대한민국,KOR,KOR,인천광역시,서구,,원당동,,이음1로,389,1030-10,2022-08-30 9:43:30,"음식||카페,디저트||아이스크림||프랜차이즈||배스킨라빈스",False
