,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
107,108,3137962,한성세탁소,,Hansung Laundry,Shops and Service,Laundry,126.74126599136468,37.5504326134111,대한민국,KOR,KOR,인천광역시,계양구,,방축동,,장제로933번길,8,213,2022-05-01 12:37:48,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
488,489,3130954,크린챔프세탁소,,Clean Champ laundry,Shops and Service,Laundry,126.67080366567087,37.51200869445697,대한민국,KOR,KOR,인천광역시,서구,,석남동,,신석로77번길,24,452-35,2020-01-14 23:40:02,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
981,982,3128666,현대세탁소,,Hyundai Laundry,Shops and Service,Laundry,126.48153734144968,37.25592286915934,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥로,298,213-4,2022-08-16 16:52:33,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
1564,1565,5675193,한진세탁소,,Hanjin Laundry,Shops and Service,Laundry,126.74270359999991,37.54503639999984,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,용종로,124,433-1,2022-08-16 16:52:33,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
1636,1637,5658986,강남세탁소,,Gangnam Laundry,Shops and Service,Laundry,126.68380547795388,37.45791272285028,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로,392,431-1,2022-08-30 9:43:30,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
2244,2245,2149927,알미컴퓨터세탁,,computer washing machine,Shops and Service,Laundry,126.49752599999982,37.7433032999999,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,갑곳리,갑룡길49번길,14-1,167-10,2017-09-08 11:11:11,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
3187,3188,5654397,지금은세탁중,,washing now,Shops and Service,Laundry,126.64316889694337,37.40203104451806,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로42번길,95,16-4,2022-08-12 13:15:03,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
3762,3763,5664247,주공세탁소,,state laundry,Shops and Service,Laundry,126.73361192940092,37.45555363148898,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,백범로124번길,7,40,2022-08-18 12:00:50,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
4311,4312,4330105,그린세탁소,,Green Laundry,Shops and Service,Laundry,126.652165855559,37.48103395311664,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송향로,25,341,2022-08-16 16:52:33,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
5198,5199,5656127,수현세탁소,,Soohyun Laundry,Shops and Service,Laundry,126.63767944201685,37.452920397683165,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,낙섬서로50번길,30,622-128,2022-08-18 12:00:50,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
5439,5440,5686371,중앙세탁소,,Central Laundry,Shops and Service,Laundry,126.69189044701788,37.44851567423428,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경원대로744번길,38,1571-34,2021-12-23 15:49:18,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
5552,5553,4356842,성실세탁소,,Sincerity Laundry,Shops and Service,Laundry,126.68111770422888,37.549601462549006,대한민국,KOR,KOR,인천광역시,서구,,연희동,,간촌로,35-8,702-10,2022-08-16 16:52:33,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
5704,5705,4351577,유승세탁소,,Yooseung Laundry,Shops and Service,Laundry,126.69883399999993,37.526172799999806,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,새풀로,31,556,2022-08-16 16:52:33,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
6914,6915,3116762,광해세탁소,,Gwanghae Laundry,Shops and Service,Laundry,126.68774500250488,37.46387400271027,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로,163,966-3,2019-11-14 23:22:18,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
7307,7308,6230294,명성옷수선세탁,명성세탁,name clothes washing,Shops and Service,Laundry,126.72375949574293,37.5011605365125,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부흥북로16번길,7,436-7,2022-05-01 12:37:48,"쇼핑,편의||세탁||세탁소||세탁소-일반",False
