,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1977,1978,1004047,인천문학경기장P4주차장,문학경기장P4주차장,Incheon Munhak Stadium 4,Travel and Transport,Parking,126.69287339999993,37.435188899999694,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로,618,482,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
6431,6432,1023451,인천국제공항 제1여객터미널 직원주차장,인천공항직원주차장,Incheon International Airport Terminal 1 employee,Travel and Transport,Parking,126.45513129947363,37.445716900196814,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항로,187,2851,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
6550,6551,283729,만수시장 공영 주차장,공영주차장,Mansu Market public service,Travel and Transport,Parking,126.73142460550024,37.45985567370965,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,,,868-17,2022-08-30 9:43:30,"도로,교통||도로시설||주차장||공영주차장",False
7344,7345,2858379,미추홀구청주차장,남구청사부설주차장,Michuhol-gu Office public service,Travel and Transport,Parking,126.65018839999996,37.46357069999978,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,독정이로,95,131-1,2018-08-11 9:09:09,"도로,교통||도로시설||주차장||공영주차장",False
8162,8163,3141071,수봉공원 공영주차장,도화1동제4노외주차장,Subong Park park parking lot,Travel and Transport,Parking,126.66613890053388,37.46409170030828,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,,,597-122,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
9399,9400,4051404,뉴 성민병원제2주차장,,New Sungmin Hospital 2,Travel and Transport,Parking,126.66937785107892,37.509759528595914,대한민국,KOR,KOR,인천광역시,서구,,석남동,,신석로,66,523,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
9779,9780,5704539,구월시장공용주차장,구월시장주차장,Guwol Market public service,Travel and Transport,Parking,126.71962199945293,37.452484001201576,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,,,1271-13,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
12425,12426,1851759,십리포해수욕장제2공영주차장,십리포해변제2공영주차장,Simpo Beach 2Public,Travel and Transport,Parking,126.48316889999984,37.28022179999943,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥북로,411,724-43,2019-08-08 23:01:22,"도로,교통||도로시설||주차장||공영주차장",False
14244,14245,5715677,복된교회1주차장,예수교대한성결교회복된교회1주차장,Blessed Church 1,Travel and Transport,Parking,126.67243569993892,37.5163818997542,대한민국,KOR,KOR,인천광역시,서구,,신현동,,가정로,355,283-14,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
14427,14428,4491286,동화마을공영주차장,동화마을주차장,Songwol-dong Fairy Tale Village public service,Travel and Transport,Parking,126.61886781315184,37.479177412649165,대한민국,KOR,KOR,인천광역시,중구,,송월동2가,,제물량로,307-1,4,2022-05-18 1:18:27,"도로,교통||도로시설||주차장||공영주차장",False
14675,14676,3127519,용현시장제7공영주차장,용현1장주차장,Yonghyeon Market 7 Public,Travel and Transport,Parking,126.65272859029189,37.45787918097948,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,,,492-265,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
15106,15107,1257862,주안교회제1주차장,기독교대한감리회주안교회제1주차장,Juan Church 1,Travel and Transport,Parking,126.67872500004164,37.45935960003817,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로349번길,9,193-2,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
15279,15280,5718111,대동강전용주차장,,Daedong River private,Travel and Transport,Parking,126.65787070012288,37.41596050013785,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,,,794,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
18972,18973,3237207,선학경기장장애인주차장,,Seonhak Stadium Disabled,Travel and Transport,Parking,126.7026107003159,37.43153189993748,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,경원대로,526,426,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
19714,19715,5671975,성모윌병원전용주차장,,St. Mary's Hospital private,Travel and Transport,Parking,126.69391660052388,37.45910310008248,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,,,1591-6,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
21682,21683,5709572,해변식당전용주차장,,beach restaurant private,Travel and Transport,Parking,126.60395700024284,37.45586660032016,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,,,27-92,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
22462,22463,5696612,에이스마트 연희점주차장,ACEMart전용주차장,Ace Smart Yeonhee Branch private,Travel and Transport,Parking,126.6817242999997,37.5489368999995,대한민국,KOR,KOR,인천광역시,서구,,연희동,,간촌로,42,700,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
23156,23157,200636,광성보대형주차장,,Ganghwa Gwangseongbo large,Travel and Transport,Parking,126.52804060014071,37.664324800228634,대한민국,KOR,KOR,인천광역시,강화군,,불은면,덕성리,,,35-1,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
23691,23692,6226445,힘센풍천장어전용주차장,,strong wind eel private,Travel and Transport,Parking,126.67253432711694,37.415525734409584,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,,,52-7,2019-08-13 3:23:49,"도로,교통||교통시설||주차장||전용주차장",False
23757,23758,3246475,송도역공영주차장,수인선송도역주차장,Songdo Station Suin Bundang Line public service,Travel and Transport,Parking,126.65546079977987,37.42922310015396,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,,,293-3,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
24207,24208,64563,공영주차장,,Hanagae Amusement Park public service,Travel and Transport,Parking,126.41305919982057,37.38575220031777,대한민국,KOR,KOR,인천광역시,중구,,무의동,,,,94-1,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
24755,24756,254808,인천국제공항제1여객터미널관광버스주차장,인천공항관광버스주차장,Incheon International Airport Terminal 1 tour bus,Travel and Transport,Parking,126.45339561632701,37.442248323734006,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항로,423,2851,2018-02-06 19:19:18,"도로,교통||교통시설||주차장||전용주차장",False
24987,24988,3126892,현대시장 공영 주차장,,modern market public service,Travel and Transport,Parking,126.64710784260588,37.47708544994369,대한민국,KOR,KOR,인천광역시,동구,,송림동,,,,49-172,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
25230,25231,3246516,남동인더스파크역공영주차장,,Namdong Indus Park Station Suin Bundang Line public service,Travel and Transport,Parking,126.69463039999997,37.407425999999774,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,,,970-21,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
26737,26738,3668040,계산체육공원지하공영주차장,,Gyesan National Sports Park public service,Travel and Transport,Parking,126.72894909999972,37.544520000000055,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,주부토로,570,907-1,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
27247,27248,2736128,인천남동체육관2주차장,인천남동경기장2주차장,Incheon Namdong Gymnasium 2,Travel and Transport,Parking,126.7348826000159,37.43650500044438,대한민국,KOR,KOR,인천광역시,남동구,,수산동,,소래로,540,601,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
28962,28963,6209158,항동7가공영주차장,항동7가주차장,Hangdong 7 Processing Management Parking Lot,Travel and Transport,Parking,126.60101904731692,37.44632128048719,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,,,82-38,2019-08-13 0:33:36,"도로,교통||도로시설||주차장||공영주차장",False
30870,30871,3668260,도원역공영주차장,,Dowon Station Line 1 public service,Travel and Transport,Parking,126.6422166999968,37.46910430041678,대한민국,KOR,KOR,인천광역시,동구,,창영동,,참외전로,245,179-1,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
31347,31348,3897576,계양산전통시장주차장,병방시장주차장,Gyeyangsan Traditional Market public service,Travel and Transport,Parking,126.74071470052895,37.5483302999957,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,계양산로215번길,10,413,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
33351,33352,1177216,인천대공원제2 공영 주차장,,Incheon Grand Park Arboretum Greenhouse public service,Travel and Transport,Parking,126.75143619976797,37.45839109988257,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,무네미로,238,301,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
34152,34153,3662805,그레이스힐SCG강화수련원대형주차장,,Grace Hill SCG Ganghwa Training Center large,Travel and Transport,Parking,126.47977510004372,37.61177180085977,대한민국,KOR,KOR,인천광역시,강화군,,길상면,선두리,해안남로,842-10,851-7,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
34531,34532,3237206,선학경기장VIP주차장,,Seonhak Stadium VIP,Travel and Transport,Parking,126.70026080023092,37.43131090010856,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,경원대로,526,426,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
35216,35217,1269205,박촌동천주교회주차장,박촌동천주교회주차장,Bakchon-dong Cathedral parking lot,Travel and Transport,Parking,126.74412446867366,37.55647549865455,대한민국,KOR,KOR,인천광역시,계양구,,박촌동,,장제로1009번길,12,19-3,2022-08-30 9:43:30,"도로,교통||교통시설||주차장||전용주차장",False
35523,35524,149535,라마다송도호텔전용주차장2,라마다송도HOTEL전용주차장,Ramada Songdo Hotel private,Travel and Transport,Parking,126.65467320000232,37.413766999997435,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,능허대로267번길,29,812-2,2022-09-06 15:18:26,"도로,교통||교통시설||주차장||전용주차장",False
36493,36494,1069053,부개1차공영주차장,부개1차 주차장,Bugae General Market public service,Travel and Transport,Parking,126.73858399972498,37.504114400668506,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,길주남로,143,496-2,2022-05-01 12:37:48,"도로,교통||도로시설||주차장||공영주차장",False
37544,37545,3142670,인천나비공원 공영 주차장,나비공원공영주차장,Incheon Butterfly Park public service,Travel and Transport,Parking,126.69748889999995,37.52074999999981,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,,,125-1,2018-09-18 15:00:00,"도로,교통||도로시설||주차장||공영주차장",False
37780,37781,5232069,인천국제공항 제2여객터미널 장기주차장,인천공항 제2여객터미널장기주차장,Incheon International Airport Terminal 2 long time,Travel and Transport,Parking,126.41656182970556,37.48076255835241,대한민국,KOR,KOR,인천광역시,중구,,운서동,,제2터미널대로,334,3233-33,2022-06-13 10:44:13,"도로,교통||교통시설||주차장||전용주차장",False
38106,38107,5726854,창영감리교회4주차장,기독교대한감리회창영교회4주차장,Changyeong Methodist Church 4,Travel and Transport,Parking,126.64129100047089,37.47053909985308,대한민국,KOR,KOR,인천광역시,동구,,창영동,,우각로,57,42-3,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
39928,39929,6252054,인천국제공항 제2여객터미널 단기주차장,인천공항 제2여객터미널 단기주차장,Incheon International Airport Terminal 2 short-term,Travel and Transport,Parking,126.43172431372977,37.46866975595918,대한민국,KOR,KOR,인천광역시,중구,,운서동,,제2터미널대로,444,2868,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
42695,42696,5671131,인프라자전용주차장,,Infraja private,Travel and Transport,Parking,126.67531720003288,37.5658853004196,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로495번길,14,597-2,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
43202,43203,3668140,신흥시장 공영 주차장,,Emerging Markets public service,Travel and Transport,Parking,126.63665760053568,37.466146100043915,대한민국,KOR,KOR,인천광역시,중구,,선화동,,,,28-2,2022-08-04 10:04:43,"도로,교통||도로시설||주차장||공영주차장",False
44305,44306,2597236,부평종합시장공영주차장,부평종합시장공영주차장,Bupyeong General Market public service,Travel and Transport,Parking,126.72685895461095,37.498710723393096,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부흥로,315,416-9,2022-05-13 10:36:55,"도로,교통||도로시설||주차장||공영주차장",False
44325,44326,5665668,우리은행 인천지점전용주차장,,Woori Bank Incheon Branch private,Travel and Transport,Parking,126.63000040019087,37.47350960036587,대한민국,KOR,KOR,인천광역시,중구,,인현동,,우현로,76,63-2,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
45409,45410,3582927,열우물경기장장애인전용주차장,2014인천아시아경기대회열우물경기장장애인전용주차장,Yeolwoomul Stadium private,Travel and Transport,Parking,126.69229230013488,37.48080440026919,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로,164,620,2022-05-01 12:37:48,"도로,교통||교통시설||주차장||전용주차장",False
