,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
45732,45733,3623359,수피자 길상점,,Sufija Gilsang Store,Food,Pizza,126.48547222250068,37.639716795653605,대한민국,KOR,KOR,인천광역시,강화군,,길상면,온수리,마니산로,65,436-18,2022-08-16 16:52:33,음식||양식||피자||프랜차이즈||수피자,False
63489,63490,3113639,수피자 강화점,,Sufija Ganghwa,Food,Pizza,126.49050117310544,37.743464825355595,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,관청리,강화대로,358,102-12,2022-08-18 12:00:50,음식||양식||피자||프랜차이즈||수피자,False
63539,63540,3125842,오구쌀피자 인천갈산점,오구쌀피자 갈산점,Ogu Pizza Galsan Branch,Food,Pizza,126.72620339223354,37.5114849486261,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,184,367-4,2022-09-06 15:18:26,음식||양식||피자||프랜차이즈||59피자,False
64647,64648,27183473,수피자 송도신도시점,,Sufija Songdo New Town Branch,Food,Pizza,126.65341149999993,37.37491889999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도문화로28번길,28,190-2,2022-08-12 13:15:03,음식||양식||피자||프랜차이즈||수피자,False
74173,74174,20010689,명품임실치즈피자 구월점,임실치즈피자,Luxury Imsil Cheese Pizza,Food,Pizza,126.71438229999995,37.45117999999978,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,용천로,18,1225-34,2022-08-26 9:52:19,음식||양식||피자||프랜차이즈||명품임실치즈피자,False
88871,88872,2386146,피자마루 인천관교점,,Pizza Maru Gwangyo Branch,Food,Pizza,126.6947113434449,37.44233017063871,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,주승로,234-1,493-5,2022-08-16 16:52:33,음식||양식||피자||프랜차이즈||피자마루,False
89456,89457,2386390,피자마루 인천 효성점,,Pizza Maru Hyosung 1st Store,Food,Pizza,126.71036373610052,37.53341690105045,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,안남로,566,60-13,2022-08-26 9:52:19,음식||양식||피자||프랜차이즈||피자마루,False
125605,125606,5665383,수피자 구월동점,SooPizza구월동점,Supija Guwol-dong,Food,Pizza,126.69590072532588,37.446682767756265,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로,15,1393-2,2022-08-24 14:41:06,음식||양식||피자||프랜차이즈||수피자,False
135155,135156,4339779,수피자 부평점,,Supija Bupyeong,Food,Pizza,126.7321792779509,37.49034597783661,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부일로,17,494-1,2022-08-12 13:15:03,음식||양식||피자||프랜차이즈||수피자,False
145330,145331,2855794,피자스쿨연수점,PIZZASchool연수점,Pizza School Training Center,Food,Pizza,126.68026642643991,37.41288415244376,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,용담로,148,625-6,2022-08-16 16:52:33,음식||양식||피자||프랜차이즈||피자스쿨,False
