,name,name_eng,problems,category,subcategory
312,옹진민박,Ongjin Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
725,자월농원민박,Jawol Farm Homestay,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
851,등불민박,Lantern Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
1529,현아민박,Hyun Amin Park,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
1622,물새민박,Water Bird Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
1638,사계절민박,Four Seasons Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
1652,행운여인숙,lucky lady,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
1950,슈퍼원룸민박,Super One Room Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
3337,경동민박,Gyeongdong Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
3582,푸뭇골민박,Pumutgol Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
3967,지수네민박,Jisoo's Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
4045,윤씨민박,Yoon's Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
4682,옥이네민박,Okine Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
4820,조용한쉼터민박,Quiet Shelter Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
5144,군산민박,Gunsan Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
5379,등대민박,Lighthouse Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
5721,해양민박,Marine Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
5911,토담집민박,Todam Homestay,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
6240,안성여인숙,Ahn Seong In-suk,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
6378,평화민박,Peace Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
7703,덕성민박,Deokseong Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
7785,꽃향기바다내음,"the scent of flowers, the smell of the sea","('향기', 'Hyanggi')",Travel and Transport,Bed and Breakfast
7842,강변민박,Riverside Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
7872,태창여인숙,Taechang Yeo Insuk,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
8016,우리민박,our guest house,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
8287,풍산민박,Poongsan Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
8529,형래민박,Hyeongnae Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
8762,문화민박,Culture Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
9247,서포리펜션민박,Seopori Pension Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
11151,가정민박,Homestay,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
11254,행복한민박,happy guest house,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
11382,행복여인숙,Happy Insook,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
13706,유진여인숙,Eugene Yeo In-suk,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
14029,수빈이네민박,Subin's Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
14218,별총총바다풍경,starry sky sea view,"('풍경', 'Punggyeong')",Travel and Transport,Bed and Breakfast
14345,로즈펜션민박,Rose Pension Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
14749,노을지는바다펜션,Sunset Sea Pension,"('노을', 'Noeul')",Travel and Transport,Bed and Breakfast
15067,동검노을펜션,Donggeom Sunset Pension,"('노을', 'Noeul')",Travel and Transport,Bed and Breakfast
15515,락희여인숙,Rak Hee In Sook,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
15751,굿모닝펜션형민박,Good Morning Pension-type Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
15775,중앙민박,Central Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
16531,똘배네민박,Tolbaene Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
18222,바다향기민박,Sea Fragrance Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
18645,강화도품안에,in the fortification,"('강화', 'Ganghwa')",Travel and Transport,Bed and Breakfast
18670,용기포민박,courageous guest house,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
18857,짱구네민박,Jjanggune Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
19338,북포민박,Bukpo Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
19499,민박촌,Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
19658,화도민박,Hwado Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
20004,볼음민박,Boleum Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
20224,아침풍경펜션,Morning View Pension,"('풍경', 'Punggyeong')",Travel and Transport,Bed and Breakfast
20406,풍경이그려지는집 가족펜션,House where the scenery is drawn Family Pension,"('풍경', 'Punggyeong')",Travel and Transport,Bed and Breakfast
20497,서천민박,Seocheon Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
20981,서해민박펜션,Seohae B&B Pension,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
23544,노을정원,sunset garden,"('노을', 'Noeul')",Travel and Transport,Bed and Breakfast
24081,갈가마민박,Galama Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
24886,못난이민박,ugly guest house,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
25071,봄이오는민박,Spring is coming,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
25108,푸른바다민박,Blue Sea Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
25462,자갈마당민박,gravel yard bed and breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
25597,십리포땅끝민박,Simpo Land's End Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
25992,향은민박,Hyang Eun Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
26618,유림민박,Yurim Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
27597,계산여인숙,Gyesan Insuk,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
27837,매표소민박,ticket office,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
27950,노을내리는 아름다운집, Beautiful House at Sunset,"('노을', 'Noeul')",Travel and Transport,Bed and Breakfast
28088,해신정민박,Haesinjeong Bed & Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
28743,황해매점민박,Hwanghae Store Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
28830,유정여인숙,Yoo Jeong Yeo In-suk,"('여인숙', 'Inn')",Travel and Transport,Bed and Breakfast
29041,바다빛노을동산,sea light sunset garden,"('노을', 'Noeul')",Travel and Transport,Bed and Breakfast
29124,한샘민박,Hanssem Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
29974,황토민박,loess guest house,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
30067,큰산너머민박,Guest house over the big mountain,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
30797,쉼토가민박,Shimtoga Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
30960,행복한식당민박,Happy Restaurant Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
31289,파라다이스민박,Paradise Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
31617,중화민박,Chinese Bed and Breakfast,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
31918,콘도형민박,Condo-style B&B,"('민박', 'Guesthouse')",Travel and Transport,Bed and Breakfast
