,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
590,591,2822011,계양대교,,Gyeyang Bridge,Travel and Transport,Bridge,126.73823749999995,37.57374889999984,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,,,113-2,2012-05-07 0:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
3757,3758,2853907,다남교,경인아라뱃길다남교,Danam Bridge,Travel and Transport,Bridge,126.72978599999996,37.57319909999983,대한민국,KOR,KOR,인천광역시,계양구,,다남동,,,,82-142,2012-05-07 0:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
26090,26091,1253203,백령대교,,Baengnyeong Bridge,Travel and Transport,Bridge,124.70353689960112,37.93845749955268,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,진촌리,,,2386,2021-12-23 15:49:18,"도로,교통||도로시설||교량||대교",False
30474,30475,2853906,백석대교,,Baekseok Bridge,Travel and Transport,Bridge,126.6635768248209,37.571273545592206,대한민국,KOR,KOR,인천광역시,서구,,검암동,,,,414-261,2020-01-10 23:00:43,"지형,지물||철도시설||시설||기타노선||교량",False
44937,44938,1853625,램프A교,rampA교,Ramp A Bridge,Travel and Transport,Bridge,126.56769153472275,37.539757353059,대한민국,KOR,KOR,인천광역시,중구,,중산동,,,,1865-2,2021-12-23 15:49:18,"도로,교통||도로시설||교량||대교",False
74290,74291,95450,학익대교,,Hakik Bridge,Travel and Transport,Bridge,126.64559999999996,37.43914299999978,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,,,587-149,2018-07-02 9:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
90580,90581,661081,남동대교,,Namdong Bridge,Travel and Transport,Bridge,126.68597189999996,37.406381899999765,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,,,744,2011-06-18 0:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
94215,94216,70942,영종대교,,Yeongjong Bridge,Travel and Transport,Bridge,126.55623479999988,37.532440299999806,대한민국,KOR,KOR,인천광역시,중구,,중산동,,,,1863,2022-05-01 12:37:48,"도로,교통||도로시설||교량||대교",False
102239,102240,116731,송도국제교,송도1교,Songdo International School,Travel and Transport,Bridge,126.66596639999996,37.39166769999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도국제대로,66,39,2016-10-27 13:03:42,"지형,지물||철도시설||시설||기타노선||교량",False
115559,115560,4383535,승기철교,,Seunggi Cheol Bridge,Travel and Transport,Bridge,126.68877349999995,37.411749799999775,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,,,471-1,2016-08-10 12:13:14,"지형,지물||철도시설||시설||기타노선||교량",False
139527,139528,615090,귤현대교,,Tangerine Hyundai Bridge,Travel and Transport,Bridge,126.75424899999996,37.57452119999984,대한민국,KOR,KOR,인천광역시,계양구,,귤현동,,,,8-5,2015-04-21 0:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
147130,147131,5926736,제3연륙교(2025년예정),,3rd Land Bridge (planned in 2025),Travel and Transport,Bridge,126.5873624259066,37.51580074455732,대한민국,KOR,KOR,인천광역시,중구,,중산동,,,,,2022-05-01 12:37:48,"도로,교통||도로시설||교량||대교",False
147131,147132,1788086,인천대교,,Incheon Bridge,Travel and Transport,Bridge,126.53720939999987,37.439046799999794,대한민국,KOR,KOR,인천광역시,중구,,운남동,,,,,2022-05-01 12:37:48,"도로,교통||도로시설||교량||대교",False
147161,147162,60402,소래대교,,Sorae Bridge,Travel and Transport,Bridge,126.74149689995394,37.39819190014607,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,,,,2021-12-23 15:49:18,"도로,교통||도로시설||교량||대교",False
147163,147164,3247994,신소래철교,,Shinsorae Railway Bridge,Travel and Transport,Bridge,126.73835120000044,37.39641610000024,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,,,,2019-10-14 17:03:10,"도로,교통||도로시설||교량||철교",False
147167,147168,1829440,소래철교,,Sorae Railway Bridge,Travel and Transport,Bridge,126.73901169999996,37.396439599999766,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,,,,2012-09-03 0:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
147190,147191,1030170,영종대교,,Yeongjong Bridge,Travel and Transport,Bridge,126.59581047764264,37.549275237438536,대한민국,KOR,KOR,인천광역시,서구,,경서동,,,,,2016-10-19 11:00:00,"지형,지물||철도시설||시설||기타노선||교량",False
147279,147280,1744869,교동대교,교동연륙교,Gyodong Bridge,Travel and Transport,Bridge,126.34107899999968,37.78934089999992,대한민국,KOR,KOR,인천광역시,강화군,,양사면,인화리,,,,2015-06-26 17:09:51,"지형,지물||철도시설||시설||기타노선||교량",False
147285,147286,268138,강화초지대교,,Ganghwa Choji Bridge,Travel and Transport,Bridge,126.54024999999989,37.63233999999986,대한민국,KOR,KOR,인천광역시,강화군,,길상면,초지리,,,,2022-05-01 12:37:48,"도로,교통||도로시설||교량||대교",False
147297,147298,4785448,석모대교,삼산연륙교,Seokmo Bridge,Travel and Transport,Bridge,126.35265349999972,37.70148479999989,대한민국,KOR,KOR,인천광역시,강화군,,내가면,황청리,,,,2018-08-20 13:09:59,"지형,지물||철도시설||시설||기타노선||교량",False
147410,147411,537971,영흥대교,,Yeongheung Bridge,Travel and Transport,Bridge,126.50340469999988,37.25489809999972,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,,,,2017-09-29 7:07:07,"지형,지물||철도시설||시설||기타노선||교량",False
147413,147414,586092,선재대교, ,Seonjae Bridge,Travel and Transport,Bridge,126.53922849999988,37.23300049999972,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,선재리,,,,2018-09-12 15:15:15,"지형,지물||철도시설||시설||기타노선||교량",False
