,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
255,256,1871330,북항제2부두,북항2부두,North Port Pier 2,Travel and Transport,Dock,126.62995000017686,37.50477499976658,대한민국,KOR,KOR,인천광역시,서구,,원창동,,,,446-2,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||부두",False
737,738,3351850,소야도선착장,,Soyado Wharf,Travel and Transport,Dock,126.16083599999936,37.224473999999695,대한민국,KOR,KOR,인천광역시,옹진군,,덕적면,소야리,,,598-3,2018-09-18 8:08:08,"도로,교통||운송||페리,해운||선착장",False
1665,1666,507257,인천제8부두,인천8부두,Incheon Pier 8,Travel and Transport,Dock,126.61409689998086,37.477065899754166,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,서해대로,353,1-10,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||부두",False
4455,4456,328354,창후리선착장,,Changhuli Wharf,Travel and Transport,Dock,126.35488749955537,37.76998330030367,대한민국,KOR,KOR,인천광역시,강화군,,하점면,창후리,창후로,320,796-6,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||선착장",False
6239,6240,749071,예단포선착장,,Yedanpo Wharf,Travel and Transport,Dock,126.50197499995372,37.53144200013745,대한민국,KOR,KOR,인천광역시,중구,,운북동,,예단포1로,2-10,1264-1,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||선착장",False
7808,7809,3351851,울도선착장,,Uldo Wharf,Travel and Transport,Dock,126.00298199999368,37.02916299965278,대한민국,KOR,KOR,인천광역시,옹진군,,덕적면,울도리,,,19-21,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||선착장",False
8598,8599,3351848,볼음도선착장,,Boleumdo Wharf,Travel and Transport,Dock,126.21056400012192,37.665023000168794,대한민국,KOR,KOR,인천광역시,강화군,,서도면,볼음도리,볼음도길,10,17-2,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||선착장",False
21811,21812,3351847,미법도선착장,,Mibeopdo Wharf,Travel and Transport,Dock,126.26960950037846,37.725752599736765,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,미법리,,,산22-3,2022-08-02 16:47:12,"도로,교통||운송||페리,해운||선착장",False
25560,25561,572267,인천항제6부두,,Incheon Port Pier 6,Travel and Transport,Dock,126.60799999981684,37.471484599815966,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,,,80-9,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||부두",False
26310,26311,513554,진두선착장,영흥선착장,Jindu Wharf,Travel and Transport,Dock,126.49882679398,37.254576353136926,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,,,8-13,2022-08-26 9:52:19,"도로,교통||운송||페리,해운||선착장",False
29289,29290,1090010,황청리선착장,,Hwangcheongni Wharf,Travel and Transport,Dock,126.35308800040043,37.71220099986536,대한민국,KOR,KOR,인천광역시,강화군,,내가면,황청리,,,794-9,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||선착장",False
33276,33277,262484,인천해양경찰서전용부두,인천해양경비안전서전용부두,Incheon Maritime Police Station exclusive pier,Travel and Transport,Dock,126.59559909976181,37.46424230031447,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,,,121,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||부두",False
