,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
7628,7629,26824926,인천항연안여객터미널 제주행,인천항 연안여객터미널 제주행,Incheon Port Coastal Passenger Terminal Jeju,Travel and Transport,Ferry,126.59637090340544,37.45358919210342,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로,88,85-72,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
59674,59675,5208464,신도바다역여객터미널,,Sindobada Station Passenger Terminal,Travel and Transport,Ferry,126.43915473574762,37.51451487359792,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,신도리,신도로,5,523-49,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
65281,65282,3940817,인천항 크루즈터미널,인천항크루즈터미널,Incheon Port Cruise Terminal,Travel and Transport,Ferry,126.59071508067296,37.42647937764946,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,,,300-16,2019-03-20 17:04:07,"도로,교통||운송||페리,해운||일반여객터미널",False
85107,85108,5456062,용기포항여객터미널, ,Yonggyeong Pohang Passenger Terminal,Travel and Transport,Ferry,124.73407740031487,37.95393289970493,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,진촌리,백령로,20-23,산33,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
96844,96845,5784626,인천항국제여객터미널,인천항 신국제여객터미널,Incheon Port International Passenger Terminal,Travel and Transport,Ferry,126.6057441180396,37.42444619298708,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,국제항만대로326번길,57,300-3,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||국제여객터미널",False
137302,137303,1043576,인천항연안여객터미널,인천항여객터미널,Incheon Port Coastal Passenger Terminal,Travel and Transport,Ferry,126.59856829404728,37.45396577336554,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로,70,88,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
138632,138633,2602215,잠진-무의행여객터미널,,Jamjin-Muihaeng Passenger Terminal,Travel and Transport,Ferry,126.41496389957058,37.41700830012267,대한민국,KOR,KOR,인천광역시,중구,,덕교동,,,,103-21,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
139191,139192,2887170,경인아라뱃길여객터미널,경인아라뱃길여객선터미널,Gyeongin Ara Waterway Passenger Terminal,Travel and Transport,Ferry,126.60612810770589,37.5580745517491,대한민국,KOR,KOR,인천광역시,서구,,오류동,,정서진1로,41,1563,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
146378,146379,81389,삼목여객터미널,,Sammok Passenger Terminal,Travel and Transport,Ferry,126.45260541009752,37.49924385960764,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종해안북로847번길,63,2508-67,2022-05-01 12:37:48,"도로,교통||운송||페리,해운||일반여객터미널",False
147342,147343,1853617,장봉바다역,,Jangbongbada Station,Travel and Transport,Ferry,126.38445899999977,37.530873999999805,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,장봉리,,,,2018-09-18 8:08:08,"도로,교통||운송||페리,해운||일반여객터미널",False
