,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
883,884,4008891,매료스테이호텔,매료스테이HOTEL,Maeryo Stay Hotel,Travel and Transport,Hotel,126.4386248817126,37.51780540447053,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,신도리,신도로,37,524-1,2020-01-14 23:21:05,숙박||호텔||호텔-일반,False
904,905,3643077,아트호텔,아트1호점모텔,Art Hotel,Travel and Transport,Hotel,126.72827278589092,37.491996573624895,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,대정로90번길,6,565-2,2022-08-16 16:52:33,숙박||호텔||호텔-일반,False
1170,1171,4344079,프리미어스호텔,,Premier's Hotel,Travel and Transport,Hotel,126.59780755889386,37.47407009391144,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로260번길,12,98-367,2022-08-12 13:15:03,숙박||호텔||2성,False
1533,1534,6230122,호텔옐로우,HOTEL옐로우,Hotel Yellow,Travel and Transport,Hotel,126.59853346318684,37.475593843018856,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로234번길,10,98-446,2022-05-01 12:37:48,숙박||호텔||1성,False
3876,3877,183315,호텔써클,써클호텔,hotel circle,Travel and Transport,Hotel,126.63524076263084,37.45533508605836,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,토금중로3번길,28,628-11,2022-08-16 16:52:33,숙박||호텔||호텔-일반,False
5420,5421,20716188,호텔 소울하다 인천점,,Hotel Soulhada Incheon Branch,Travel and Transport,Hotel,126.73686947532198,37.535788570747215,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양문화로,58,1081-9,2022-08-24 14:41:06,숙박||호텔||호텔-일반,False
5933,5934,27240125,워커힐환승호텔,워커힐환승호텔,Walkerhill Transit Hotel,Travel and Transport,Hotel,126.45380478466808,37.450396370650665,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항로,272,2840,2022-05-01 12:37:48,숙박||호텔||호텔-일반,False
7452,7453,713772,호텔 에버리치,HOTEL 에버리치,hotel everrich,Travel and Transport,Hotel,126.47432750009985,37.73492500065859,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,남산리,화성길50번길,43,439-16,2022-08-30 9:43:30,숙박||호텔||3성,False
8443,8444,5765391,비씨인천공항레지던스호텔,,BC Incheon Airport Residence Hotel,Travel and Transport,Hotel,126.50926800032671,37.48257800078274,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종대로327번길,12,2924,2022-05-01 12:37:48,숙박||레지던스||레지던스-일반,False
8977,8978,6232545,더웰오피스텔,,The Well Officetel,Travel and Transport,Hotel,126.7083729956599,37.466016138120686,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로,936,214-28,2022-05-01 12:37:48,숙박||레지던스||코업레지던스,False
