,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
293,294,1252462,사항포포구,,Saunpopogu,Travel and Transport,Port,124.6476999999652,37.97220129999918,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,가을리,,,,2018-09-18 8:08:08,"도로,교통||교통시설||페리,해운||일반어항명",False
1283,1284,1851275,오군포,,Ogunpo,Travel and Transport,Port,124.69826249987946,37.923576300201255,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,남포리,,,49-4,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||주요항구",False
7248,7249,3452864,건평항,,Keonpyeong Port,Travel and Transport,Port,126.39884200052252,37.680103000256565,대한민국,KOR,KOR,인천광역시,강화군,,양도면,건평리,,,623-16,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
9210,9211,2822035,건평나루,,dry flat naru,Travel and Transport,Port,126.39906219946651,37.680059900373166,대한민국,KOR,KOR,인천광역시,강화군,,양도면,건평리,,,623-16,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
25552,25553,1252822,장촌포구,,Jangchon Port,Travel and Transport,Port,124.67330000023728,37.92193459972753,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,남포리,,,908-5,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반어항명",False
53283,53284,1871332,인천북항다목적부두,인천북항부두,Incheon North Port Multipurpose Pier,Travel and Transport,Port,126.63261299999992,37.505498999999816,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로,135,396-10,2018-09-18 15:00:00,"도로,교통||교통시설||페리,해운||주요항구",False
75641,75642,5455950,왕산마리나항, ,Wangsan Marina Port,Travel and Transport,Port,126.35815309996242,37.457780999648875,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,왕산마리나길,143,980-1,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
78826,78827,1124772,어류정항,,fish port,Travel and Transport,Port,126.34404099962237,37.64489980021603,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,매음리,어류정길177번길,117,855-41,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
89237,89238,5456014,말도선착장,,Malo Wharf,Travel and Transport,Port,126.12996756338455,37.68420970069767,대한민국,KOR,KOR,인천광역시,강화군,,서도면,말도리,,,산48,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
91137,91138,962826,후포항,후포항선착장,Hupo Port,Travel and Transport,Port,126.391587499779,37.64076540010571,대한민국,KOR,KOR,인천광역시,강화군,,화도면,내리,,,1825-7,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
100332,100333,2623888,인천신항,,Incheon New Port,Travel and Transport,Port,126.63852189999992,37.34492669999975,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,인천신항대로,707,407,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||주요항구",False
146398,146399,2822034,더러미포구,,Dirty Port,Travel and Transport,Port,126.51361899997472,37.72364980028545,대한민국,KOR,KOR,인천광역시,강화군,,선원면,신정리,해안동로,1230,12-33,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반항구",False
147127,147128,1839963,인천만,,Incheon Bay,Travel and Transport,Port,126.59089639999992,37.465004599999794,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,,,,2018-09-18 8:08:08,"도로,교통||교통시설||페리,해운||일반항구",False
147137,147138,5455951,왕산항, ,Wangsan Port,Travel and Transport,Port,126.36521339999972,37.4576196999998,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,,,,2018-09-18 8:08:08,"도로,교통||교통시설||페리,해운||일반항구",False
147355,147356,1253196,고봉포구,,Gobong Port,Travel and Transport,Port,124.69753749947147,37.98315129987274,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,진촌리,,,,2022-05-01 12:37:48,"도로,교통||교통시설||페리,해운||일반어항명",False
147358,147359,1850366,두무진포구,,Dumujin Port,Travel and Transport,Port,124.6185999999632,37.975142899999135,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,연화리,,,,2018-04-24 9:59:59,"도로,교통||교통시설||페리,해운||주요항구",False
147359,147360,1850353,중화동포구,,Junghwadongpo-gu,Travel and Transport,Port,124.65628749996574,37.92312629999917,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,연화리,,,,2018-04-24 9:59:59,"도로,교통||교통시설||페리,해운||주요항구",False
