,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
4593,4594,27196051,쏘카 길병원사거리,,Soka Gil Hospital Intersection,Travel and Transport,Rental Cars,126.70841169999994,37.44939439999979,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,644,1194,2022-05-01 12:37:48,"산업,유통||자동차||카쉐어링||쏘카",False
4912,4913,27205727,그린존 서구청제1주차장,,Green Zone Seo-gu Office Parking Lot 1,Travel and Transport,Rental Cars,126.6758771150539,37.54608216536631,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,탁옥로51번길,26,239-9,2022-05-01 12:37:48,"산업,유통||자동차||카쉐어링||그린카",False
5110,5111,27228166,뉴금강산렌트카,,New Kumgangsan Rent-a-Car,Travel and Transport,Rental Cars,126.77949593376395,37.57930060637484,대한민국,KOR,KOR,인천광역시,계양구,,상야동,,벌말로,572,10-4,2022-08-24 14:41:06,"산업,유통||임대,대여||렌터카||렌터카-일반",False
5214,5215,20200910,경인렌트카 주안영업소,경인렌터카 주안영업소,Gyeongin Rent a Car Juan Sales Office,Travel and Transport,Rental Cars,126.66571854017693,37.516237369571016,대한민국,KOR,KOR,인천광역시,서구,,신현동,,새오개로68번길,3-1,173-64,2022-08-24 14:41:06,"산업,유통||임대,대여||렌터카||렌터카-일반",False
5238,5239,5721664,우리렌트카,우리렌터카,Woori rental car,Travel and Transport,Rental Cars,126.67337114971188,37.4994111510288,대한민국,KOR,KOR,인천광역시,서구,,석남동,,건지로,281,578-15,2022-05-01 12:37:48,"산업,유통||임대,대여||렌터카||렌터카-일반",False
5273,5274,27225492,쏘카 희망나눔병원,,Soka Hope Sharing Hospital,Travel and Transport,Rental Cars,126.66598329999997,37.444665499999786,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,한나루로,420,293-37,2022-05-01 12:37:48,"산업,유통||자동차||카쉐어링||쏘카",False
6235,6236,27224883,쏘카 동암역 1번출구,,"Soka Dongam Station, Exit 1",Travel and Transport,Rental Cars,126.70551989999996,37.4698059999998,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,동암남로20번길,18,486-15,2022-05-01 12:37:48,"산업,유통||자동차||카쉐어링||쏘카",False
6996,6997,27094454,경인렌트카 부평영업소,,Gyeongin Rent a Car Bupyeong Office,Travel and Transport,Rental Cars,126.70776449999993,37.4852422999998,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,마장로,73,170-47,2022-08-12 13:15:03,"산업,유통||임대,대여||렌터카||렌터카-일반",False
8343,8344,27134591,경인렌트카 십정점,,Gyeongin Rent a Car Sipjeong,Travel and Transport,Rental Cars,126.69293871804187,37.471817488196976,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로,533,357-7,2022-05-01 12:37:48,"산업,유통||임대,대여||렌터카||렌터카-일반",False
8517,8518,3125890,이렌트카,이렌트카,E-rental car,Travel and Transport,Rental Cars,126.73950646253795,37.48667483746559,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로,1075,302-15,2019-11-14 0:00:00,"산업,유통||임대,대여||렌터카||렌터카-일반",False
8574,8575,27185295,롯데렌터카 부천지점,,LOTTE Rent a Car Bucheon Branch,Travel and Transport,Rental Cars,126.73166374730488,37.54346492722944,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1121,918-9,2022-08-16 16:52:33,"산업,유통||임대,대여||렌터카||롯데렌터카",False
8607,8608,5669537,케이렌트카,케이렌터카,K Rent a Car,Travel and Transport,Rental Cars,126.5640144791508,37.48910901595677,대한민국,KOR,KOR,인천광역시,중구,,중산동,,하늘별빛로65번길,7-3,1886-1,2021-12-23 15:49:18,"산업,유통||임대,대여||렌터카||렌터카-일반",False
