,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2873,2874,4011964,티라시아 리조트,,Tirasia Resort,Travel and Transport,Resort,126.37545033285544,37.62918666314342,대한민국,KOR,KOR,인천광역시,강화군,,화도면,장화리,해안남로,2553-27,210-9,2022-08-04 10:04:43,"숙박||콘도,리조트||콘도,리조트-일반",False
4854,4855,27070875,강화씨사이드리조트,,Ganghwa Seaside Resort,Travel and Transport,Resort,126.4981146999997,37.61712199999968,대한민국,KOR,KOR,인천광역시,강화군,,길상면,선두리,장흥로,217,산343-2,2022-09-06 15:18:26,"숙박||콘도,리조트||콘도,리조트-일반",False
20488,20489,4351868,강화광천리조트,강화광천리조트사우나,GanghwaGwangcheon Resort,Travel and Transport,Resort,126.38243219999974,37.70515139999978,대한민국,KOR,KOR,인천광역시,강화군,,내가면,외포리,강화서로,26,480-3,2017-12-12 11:11:11,"숙박||콘도,리조트||콘도,리조트-일반",False
22101,22102,27101189,드림클래스,,dream class,Travel and Transport,Resort,126.68061783853588,37.45998518756157,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,702,175-3,2022-05-01 12:37:48,"숙박||콘도,리조트||콘도,리조트-일반",False
34807,34808,20163531,더위크앤 리조트,,The Week and Resort,Travel and Transport,Resort,126.37116129999976,37.45112949999979,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,용유서로,379,773,2022-09-06 15:18:26,"숙박||콘도,리조트||콘도,리조트-일반",False
50504,50505,5456004,구섬돌모루콘도, ,Guseomdol Moru Condo,Travel and Transport,Resort,126.32882719999968,37.712155899999885,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,석모리,삼산북로,468-50,1217-1,2021-12-23 15:49:18,"숙박||콘도,리조트||콘도,리조트-일반",False
97857,97858,1254309,아일랜드캐슬,,Ireland Castle,Travel and Transport,Resort,124.72463580201878,37.96682852042483,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,진촌리,백령로,215,316-3,2022-08-16 16:52:33,"숙박||콘도,리조트||콘도,리조트-일반",False
114908,114909,27197068,영흥도 쎄시오 (2023년03월예정),,"Cecio, Yeongheungdo (planned in March 2023)",Travel and Transport,Resort,126.4702023999995,37.2858078999996,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,,,1212-55,2022-05-01 12:37:48,"숙박||콘도,리조트||콘도,리조트-일반",False
117682,117683,5654683,영흥콘도,,Yeongheung Condo,Travel and Transport,Resort,126.4821974535227,37.25560880810245,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥로251번길,117,213-1,2021-12-23 15:49:18,"숙박||콘도,리조트||콘도,리조트-일반",False
129639,129640,27105063,승봉도 동양콘도미니엄,,Seungbongdo Dongyang Condominium,Travel and Transport,Resort,126.29162095605027,37.17235943851699,대한민국,KOR,KOR,인천광역시,옹진군,,자월면,승봉리,승봉로29번길,17-41,784,2022-05-01 12:37:48,"숙박||콘도,리조트||콘도,리조트-일반",False
136974,136975,5455969,쎄시오 리조트, ,Cecio Resort,Travel and Transport,Resort,126.47047850011462,37.286948599579866,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,,,1212-3,2022-08-04 10:04:43,"숙박||콘도,리조트||콘도,리조트-일반",False
141879,141880,20438331,THE WEEK& 더위크앤리조트,,THE WEEK& TheWeek&Resort ,Travel and Transport,Resort,126.37065902767876,37.45056895000368,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,용유서로,379,773,2022-05-01 12:37:48,"숙박||콘도,리조트||콘도,리조트-일반",False
