,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
3922,3923,4586256,남청라톨게이트,남청라Tollgate,Nam Cheongna Tollgate,Travel and Transport,Tollbooth,126.6204817903702,37.514337417894815,대한민국,KOR,KOR,인천광역시,서구,,청라동,,파랑로,71,194-2,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
24977,24978,1785708,인천대교톨게이트,인천대교Tollgate,Incheon Bridge Tollgate,Travel and Transport,Tollbooth,126.51289033270837,37.4700765488148,대한민국,KOR,KOR,인천광역시,중구,,운남동,,인천대교고속도로,3,1113-81,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
26875,26876,7331,인천톨게이트,인천Tollgate,Incheon Tollgate,Travel and Transport,Tollbooth,126.7483250004938,37.52397500088074,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,,,324-14,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
34466,34467,643087,남인천톨게이트,남인천Tollgate,South Incheon Tollgate,Travel and Transport,Tollbooth,126.7644423731665,37.43199788709178,대한민국,KOR,KOR,인천광역시,남동구,,운연동,,,,465-1,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
36938,36939,3552576,청라톨게이트,청라Tollgate,Cheongna Tollgate,Travel and Transport,Tollbooth,126.66329760046624,37.56748160110568,대한민국,KOR,KOR,인천광역시,서구,,검암동,,검바위로,105,414,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
40562,40563,4586255,검단.양촌톨게이트,검단.양촌Tollgate,Geomdan .yangchon Tollgate,Travel and Transport,Tollbooth,126.6205738476564,37.60186510694585,대한민국,KOR,KOR,인천광역시,서구,,오류동,,,,971,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
60953,60954,115338,북인천톨게이트,북인천Tollgate,North Incheon Tollgate,Travel and Transport,Tollbooth,126.61704394361132,37.55455698419687,대한민국,KOR,KOR,인천광역시,서구,,청라동,,,,3-51,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
68024,68025,1882722,고잔톨게이트,고잔Tollgate,Gojan Tollgate,Travel and Transport,Tollbooth,126.71424784784487,37.38233719329335,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,,,979,2019-11-21 23:01:00,"도로,교통||도로시설||고속도로시설||TG명",False
96662,96663,3552575,청라톨게이트,청라Tollgate,Cheongna Tollgate,Travel and Transport,Tollbooth,126.66448529952632,37.56693090091897,대한민국,KOR,KOR,인천광역시,서구,,검암동,,검바위로,105,414,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
116292,116293,4586273,청라.원창톨게이트,청라.원창Tollgate,Cheongna .wonchang Tollgate,Travel and Transport,Tollbooth,126.62492649075216,37.51545384586656,대한민국,KOR,KOR,인천광역시,서구,,청라동,,파랑로,71,194-2,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
127478,127479,4586259,북청라톨게이트,북청라Tollgate,Bug Cheongna Tollgate,Travel and Transport,Tollbooth,126.62833513239472,37.56014071725512,대한민국,KOR,KOR,인천광역시,서구,,오류동,,,,1797,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
135278,135279,368902,인천공항톨게이트,신공항Tollgate,Incheon Airport,Travel and Transport,Tollbooth,126.66812660044026,37.569795800785045,대한민국,KOR,KOR,인천광역시,서구,,검암동,,인천국제공항고속도로,24,399-30,2022-09-06 15:18:26,"도로,교통||도로시설||고속도로시설||TG명",False
